freq,temp,util,power
1200000.00,71240.89,48.31,4.68
1200000.00,71446.00,49.20,4.82
1200000.00,71446.00,47.31,4.82
1200000.00,71446.00,44.96,4.82
1200000.00,71446.00,43.13,4.82
1200000.00,71446.00,44.28,4.82
1200000.00,71446.00,45.37,4.82
1200000.00,71446.00,46.45,4.82
1200000.00,71502.29,46.77,4.82
1200000.00,71758.18,46.77,4.71
1200000.00,71916.26,46.77,4.71
1200000.00,71984.00,46.74,4.71
1200000.00,71984.00,46.58,4.71
1200000.00,71984.00,46.41,4.71
1200000.00,71984.00,46.28,4.71
1200000.00,71984.00,46.16,4.71
1200000.00,71984.00,46.04,4.71
1200000.00,71972.19,46.42,4.82
1200000.00,71812.62,45.91,4.82
1200000.00,71675.23,45.22,4.82
1200000.00,71540.75,44.54,4.82
1200000.00,71513.26,44.30,4.80
1200000.00,71788.27,45.23,4.80
1200000.00,71984.00,45.91,4.80
1200000.00,71984.00,46.18,4.80
1200000.00,71984.00,46.52,4.65
1200000.00,71990.20,46.76,4.65
1200000.00,72307.28,46.19,4.65
1200000.00,72624.60,45.62,4.65
1200000.00,73044.72,44.86,4.80
1200000.00,72912.24,45.09,4.80
1200000.00,72454.42,45.92,4.80
1200000.00,72141.30,46.49,4.80
1200000.00,72052.60,46.55,4.82
1200000.00,72283.36,45.79,4.82
1200000.00,72444.59,45.26,4.82
1200000.00,72479.89,45.20,4.82
1200000.00,72221.89,46.46,4.74
1200000.00,72059.31,47.25,4.74
1200000.00,71942.51,47.62,4.74
1200000.00,71746.86,47.62,4.74
1200000.00,71541.93,47.62,4.70
1200000.00,71476.17,47.42,4.70
1200000.00,71664.73,46.18,4.70
1200000.00,71822.43,45.13,4.70
1200000.00,71984.00,44.25,4.82
1200000.00,71984.00,45.51,4.82
1200000.00,71984.00,46.53,4.82
1200000.00,71984.00,47.57,4.82
1200000.00,72084.14,47.77,4.82
1200000.00,72348.32,48.17,4.82
1200000.00,72510.36,48.42,4.82
1200000.00,72449.34,48.32,4.82
1200000.00,72163.19,47.84,4.66
1200000.00,72004.91,47.58,4.66
1200000.00,71984.00,47.33,4.66
1200000.00,71984.00,46.64,4.66
1200000.00,71984.00,45.99,4.78
1200000.00,72049.42,45.79,4.78
1200000.00,72271.65,45.42,4.78
1200000.00,72469.87,45.09,4.78
1200000.00,72460.15,45.39,4.84
1200000.00,72237.73,46.79,4.84
1200000.00,72079.00,47.79,4.84
1200000.00,72014.73,48.29,4.84
1200000.00,72248.27,47.59,4.76
1200000.00,72401.68,47.13,4.76
1200000.00,72522.00,46.75,4.76
1200000.00,72522.00,46.51,4.76
1200000.00,72522.00,46.21,4.67
1200000.00,72535.22,46.01,4.67
1200000.00,72705.58,45.68,4.67
1200000.00,72862.12,45.38,4.67
1200000.00,73053.26,45.03,4.83
1200000.00,72841.76,46.06,4.83
1200000.00,72688.28,46.81,4.83
1200000.00,72534.46,47.56,4.83
1200000.00,72601.07,47.37,4.82
1200000.00,72847.92,46.58,4.82
1200000.00,73017.22,46.04,4.82
1200000.00,73060.00,46.18,4.82
1200000.00,73060.00,47.41,4.70
1200000.00,73060.00,48.15,4.70
