cache-misses,instructions,power
24109.14,271584197.12,4.14
21934.04,271979138.19,4.14
22989.42,273299658.49,4.14
23971.97,274529048.50,4.15
24691.85,275429774.73,4.15
24178.02,269452694.00,4.15
22376.34,250248342.64,4.15
20748.11,232892724.90,3.87
19518.21,219782951.28,3.87
486752.58,233157233.04,3.87
1935759.23,277607452.30,3.87
3276629.65,318740447.61,4.87
4269240.43,349190112.48,4.87
4963893.03,364022896.22,4.87
6880068.17,402759220.21,4.87
8611248.30,437755788.49,4.94
9925679.07,464327585.21,4.94
10036575.04,466643629.80,4.94
10025360.60,466586961.18,4.94
10019213.13,466555896.89,5.18
10321915.84,471058096.18,5.18
12906288.03,509127821.07,5.18
15179965.66,542620783.98,5.18
17463454.95,576258279.95,6.40
19735879.00,609732776.73,6.40
20383921.03,618995832.80,6.40
21980256.89,641597714.32,6.40
23405951.90,661783560.31,6.43
24486078.17,677076636.53,6.43
24588234.05,678498220.03,6.43
24590808.82,678453746.74,6.43
24593121.66,678413797.76,6.46
24594841.82,678384085.96,6.46
24401907.04,675384775.55,6.46
23711472.73,664670389.63,6.46
23232413.58,657236192.84,6.31
22814056.90,650743996.79,6.31
22934913.58,653076142.67,6.31
23459483.61,662695157.43,6.31
23963421.10,671935834.33,6.48
24329416.82,678647079.84,6.48
24385150.59,679163278.37,6.48
24460252.18,678925901.68,6.48
24528566.26,678709978.56,6.50
24579957.56,678547543.94,6.50
24588194.51,678502757.49,6.50
24589249.02,678436352.08,6.50
24590224.69,678374911.34,6.50
24590952.72,678329065.58,6.50
24591624.75,678329232.36,6.50
24593545.04,678344566.88,6.50
24595312.48,678358680.77,6.51
24596650.18,678369362.96,6.51
24590315.09,678367373.91,6.51
24568896.43,678356187.18,6.51
24549093.38,678345844.27,6.53
24534191.54,678338061.20,6.53
24536742.82,678344297.90,6.53
24553992.86,678370718.55,6.53
24569640.84,678394685.43,6.53
24581234.60,678412442.75,6.53
24582922.96,678409937.24,6.53
24584238.30,678395967.23,6.53
24585348.93,678384171.48,5.93
24586243.90,678374666.12,5.93
22550303.34,645101813.35,5.93
15700683.06,533173393.00,5.93
9388302.46,430023910.34,4.21
4651888.76,352627020.90,4.21
3600535.52,335359193.46,4.21
2295961.14,313750851.13,4.21
1088777.89,293755648.61,4.19
180935.92,278718591.09,4.19
20368.06,276465120.68,4.19
20907.59,277603126.23,4.19
21279.50,278387583.50,4.18
21630.82,279128612.70,4.18
21829.65,279131208.96,4.18
22318.66,278772892.31,4.18
22775.67,278438017.68,4.17
23121.40,278184692.83,4.17
23533.76,277367917.21,4.17
24743.20,274741992.21,4.17
25834.49,272372589.01,4.15
26673.48,270550970.23,4.15
25457.00,270454675.15,4.15
20813.31,271244494.68,4.15
16472.57,271982788.05,4.14
13172.53,272544073.09,4.14
12858.31,272660720.97,4.14
13715.17,272729626.05,4.14
14519.61,272794315.62,4.14
15124.25,272842938.24,4.14
15970.14,272854682.42,4.14
18480.50,272852435.24,4.14
20861.75,272850303.64,4.15
22669.12,272848685.75,4.15
442231.52,282799886.35,4.15
1861231.07,316478931.62,4.15
3156486.75,347220995.39,4.95
4553178.74,380334105.85,4.95
5723790.33,406503694.91,4.95
6856967.27,431836414.36,4.95
7995432.36,457287352.82,4.98
9121614.54,482463700.78,4.98
9276456.57,485911342.00,4.98
9278527.64,485912042.63,4.98
9280284.30,485912636.90,4.99
9281699.11,485913115.52,4.99
9281901.08,485907595.86,4.99
9280291.89,485882938.89,4.99
9278588.39,485856836.86,4.99
9277354.28,485837926.97,4.99
9272761.76,485794069.13,4.99
9257384.06,485652201.34,4.99
9243239.60,485521710.96,4.99
9232472.62,485422379.69,4.99
8933618.05,474691506.13,4.99
7876981.03,436510710.70,4.99
6847015.85,399293682.04,4.30
6078306.69,371516946.20,4.30
5379176.51,344029549.50,4.30
3517514.93,268841031.67,4.30
1700987.37,195475380.11,4.01
357883.92,141230312.74,4.01
55186.33,128815583.99,4.01
54599.85,128104723.65,4.01
54022.63,127405093.21,3.94
53595.33,126887179.62,3.94
49502.30,127674487.29,3.94
37938.04,130340459.29,3.94
29704.79,132238518.67,4.03
22038.19,134005941.43,4.03
19645.64,135593963.12,4.03
19016.16,138870416.25,4.03
18572.00,141182247.02,4.03
18149.70,143380272.68,4.03
17990.51,144005209.76,4.03
17860.23,143914056.47,4.03
17729.89,143822860.03,3.95
17633.01,143755077.54,3.95
18601.50,138171801.11,3.95
22280.92,117582370.32,3.95
25875.40,97468232.02,3.89
28554.94,82473992.29,3.89
28704.60,85201726.69,3.89
26590.27,110202450.95,3.89
24547.03,134362494.62,4.03
23005.80,152586614.17,4.03
22548.20,158430956.16,4.03
22667.82,158678494.46,4.03
22788.89,158929031.18,4.03
22878.27,159113993.21,4.03
25376.43,156904410.34,4.03
34599.70,148474143.58,4.03
43773.95,140088688.09,3.89
50548.88,133896257.72,3.89
48938.76,126787490.03,3.89
37403.62,110610989.61,3.89
29050.72,98897160.98,3.82
21152.45,87820898.07,3.82
18933.60,84423287.33,3.82
18808.27,83141207.83,3.82
18689.62,81927573.51,3.86
18598.41,80994491.84,3.86
18618.49,82130301.04,3.86
18794.52,87453138.01,3.86
18975.88,92937421.17,3.88
19107.82,96927235.04,3.88
26307.97,101980413.28,3.88
53105.48,116567695.66,3.88
80067.84,131244710.19,4.03
99985.76,142087073.14,4.03
99974.18,145217277.53,4.03
77847.24,145230023.31,4.03
57568.31,145241704.59,4.02
41717.99,145250834.85,4.02
35519.39,145164059.40,4.02
31305.00,144811839.66,4.02
27049.54,144456187.34,4.02
23896.63,144192681.49,4.02
22532.28,144101099.78,4.02
21050.26,144063925.11,4.02
19590.86,144027317.97,4.02
18487.65,143999645.20,4.02
18352.98,143994443.30,4.02
18684.77,143998000.16,4.02
18887.54,144000173.88,4.02
19091.64,144002361.97,4.02
19703.09,144049641.60,4.02
21560.37,144195386.08,4.02
23029.80,144310694.81,4.02
24264.36,144407573.65,4.02
25043.57,144467290.03,4.02
24139.69,144385260.83,4.02
23070.15,144288197.17,4.02
22280.68,144216551.66,4.02
21629.37,144160986.64,4.02
21109.73,144146337.21,4.02
20481.08,144128614.49,4.02
20020.08,144115618.34,4.02
20935.75,144187802.06,4.02
25404.68,144504118.45,4.02
29714.98,144809206.52,4.02
33048.94,145045188.18,4.02
33693.85,145090512.87,4.02
31203.73,144912910.36,4.02
28638.68,144729963.59,4.03
26793.12,144598332.68,4.03
25371.59,144493686.21,4.03
24491.50,144406897.46,4.03
23464.08,144305578.93,4.03
22705.15,144230738.39,4.03
22068.75,144193936.55,4.03
20928.05,144163182.45,4.03
20116.21,144141294.52,4.01
19345.50,144120515.75,4.01
18997.68,144106476.98,4.01
18691.89,144079054.77,4.01
18387.78,144051782.85,4.01
18156.87,144031076.31,4.01
18128.63,144024292.86,4.01
18362.06,144027704.99,4.01
18595.91,144031123.44,3.95
18772.76,144033708.58,3.95
18882.44,139639438.64,3.95
19032.59,119905731.86,3.95
19191.88,98969302.70,3.84
19310.20,83417957.06,3.84
19196.41,77761735.71,3.84
18539.86,77631039.10,3.84
17887.03,77501084.72,3.83
17390.36,77402214.44,3.83
18428.95,77298789.72,3.83
23618.15,77022084.72,3.83
28849.10,76743153.60,3.82
32789.80,76533023.05,3.82
33945.28,76334094.84,3.82
31806.75,75843565.42,3.82
29577.79,75332290.75,3.82
27860.47,74938375.80,3.82
26257.34,74703859.89,3.82
22376.31,74516374.56,3.82
18277.72,74318379.13,3.82
15154.68,74167510.95,3.82
13607.08,74096245.17,3.82
12951.21,74080830.83,3.82
12255.91,74064489.80,3.82
11742.21,74052417.00,3.82
11580.37,82751183.26,3.82
11868.54,122333633.15,3.82
12171.60,163959376.16,4.03
12395.77,194751301.55,4.03
12517.12,208904468.24,4.03
12533.91,197662950.76,4.03
12552.94,184923751.33,4.00
12566.77,175665671.44,4.00
12740.36,170977134.55,4.00
13452.50,165939781.33,4.00
14186.17,160750107.81,4.01
14738.67,156841957.29,4.01
15975.93,155183362.56,4.01
20282.92,155485767.99,4.01
24452.81,155778546.75,4.03
27721.32,156008037.72,4.03
28470.03,156072044.93,4.03
25122.49,155889748.38,4.03
21594.76,155697639.56,4.01
18970.19,155554713.80,4.01
16980.65,155467272.38,4.01
15375.17,155524272.89,4.01
13560.40,155588703.74,4.01
12191.56,155637302.87,4.01
11870.94,155666904.33,4.01
13295.17,155697949.38,4.01
14785.95,155730445.28,4.01
15910.99,155754968.56,4.01
16158.78,155750665.25,4.01
15154.35,155685683.28,4.01
14104.51,155617763.71,4.01
13329.69,155567635.97,4.01
13017.46,155547100.13,4.01
13086.40,155550062.82,4.01
13175.73,155553901.39,4.02
13230.01,155556233.44,4.02
13296.33,155072032.96,4.02
13491.63,153477216.21,4.02
13624.45,152392576.01,3.97
13757.76,151303980.40,3.97
13886.86,150557244.55,3.97
14210.58,149299048.21,3.97
14536.40,148032685.83,3.97
14787.53,147056621.85,3.97
17950.06,145998482.20,3.97
32702.96,143155523.44,3.97
48511.86,140109068.16,3.92
60191.79,137858285.61,3.92
62809.97,133454543.77,3.92
48084.59,117559194.71,3.92
32300.80,100521331.19,3.79
20664.11,87960071.29,3.79
14413.11,81318903.44,3.79
13895.36,81317581.17,3.79
13343.59,81316172.03,3.80
12926.12,81315105.86,3.80
14753.94,81402790.91,3.80
24739.75,81836073.56,3.80
35229.53,82291223.37,3.88
43095.88,82632542.88,3.88
45264.47,82376576.98,3.88
35587.03,80192741.96,3.88
20824.70,76861437.44,3.84
13175.25,75324702.83,3.84
21288.92,84718993.95,3.84
28932.15,93568587.45,3.84
36470.70,102296984.71,3.83
44168.43,111209681.55,3.83
47768.97,116801928.47,3.83
49148.99,124819765.25,3.83
50340.37,131741628.75,4.03
51387.27,137824073.24,4.03
50644.07,141106545.60,4.03
44107.88,141171748.82,4.03
36970.23,141242952.06,4.01
31659.35,141295931.97,4.01
27357.39,141219692.85,4.01
22881.16,140903872.65,4.01
19820.86,140687953.31,3.99
16826.93,140476715.84,3.99
15489.15,140394046.32,3.99
14197.62,140350532.99,3.99
13061.95,140312270.82,4.00
12106.61,140280084.04,4.00
11646.67,140262496.23,4.00
12077.51,140265698.96,4.00
12565.01,140269322.78,4.00
12918.09,140271947.47,4.00
13091.42,140270193.30,4.00
13031.54,140254013.57,4.00
12965.59,140236191.95,4.00
12917.62,140223229.99,4.00
12818.31,140220837.30,4.00
12495.84,140240667.72,4.00
12204.06,140258610.31,4.00
11956.46,140273836.23,4.00
11826.70,140283541.34,4.00
12094.06,140279337.73,4.00
12399.38,140274537.35,3.99
12629.70,140270916.19,3.99
12688.00,140266253.64,3.99
12300.68,140251616.67,3.99
11879.97,140235717.75,4.00
11562.68,140223727.02,4.00
11899.64,140254259.35,4.00
16986.16,140606536.06,4.00
20912.95,140878493.63,4.01
24623.57,141135479.79,4.01
25860.11,141219174.55,4.01
22312.87,140963550.05,4.01
18687.12,140702267.93,4.00
15834.87,140496726.16,4.00
14050.03,140369000.03,4.00
13120.24,140306977.25,4.00
12086.13,140237996.26,4.00
11320.87,140186948.32,4.00
11120.57,140170955.76,4.00
11991.21,140216057.28,4.00
12926.88,140264527.58,4.00
13772.70,140308343.58,4.00
13889.14,140314492.09,4.00
13283.55,140283601.44,4.00
12774.43,140257632.33,4.00
12311.86,140234037.00,4.00
11995.41,140219626.70,4.00
11762.52,140218194.41,4.00
11505.55,140216614.10,4.00
11312.05,140215424.10,4.00
11255.52,140217247.08,4.00
11569.32,140231445.15,4.00
11910.00,140246859.92,4.00
12167.13,140258493.82,4.00
12855.89,140304945.56,4.00
16066.13,140541949.59,4.00
19522.52,140797126.86,4.01
22137.59,140990191.37,4.01
23370.25,141074634.20,4.01
21076.82,140866003.10,4.01
18556.05,140636690.79,4.00
16660.11,140464218.35,4.00
15591.30,140364901.02,4.00
16307.31,140417283.96,4.00
17114.83,140476362.20,4.00
17715.08,140520276.35,4.00
17939.11,140538560.59,4.00
17164.46,140492765.34,4.00
16310.17,140442261.79,3.99
15342.43,140385051.56,3.99
20080.83,139772564.44,3.99
35902.77,137779594.91,3.99
46962.73,136386455.08,3.96
57866.50,135012989.74,3.96
60421.71,130708837.54,3.96
47802.19,113214076.92,3.96
36194.86,97122545.22,3.81
26231.58,83310210.78,3.81
19608.79,74309320.56,3.81
18689.78,74299168.22,3.81
17599.40,74287122.79,3.81
16825.37,74278572.05,3.81
16222.13,74269098.57,3.81
15262.73,74241426.81,3.81
14366.58,74215579.13,3.81
13646.72,74194816.33,3.81
13762.66,74223131.19,3.81
17986.86,74519994.81,3.81
22683.01,74850026.04,3.82
26269.64,75102083.69,3.82
28136.07,75223437.30,3.82
25113.89,74946001.81,3.82
21626.53,74625863.28,3.81
19107.99,74394660.97,3.81
17258.18,74233186.55,3.81
16465.58,74218999.80,3.81
15540.48,74202441.30,3.80
14378.28,74182144.51,3.80
15071.78,74211850.33,3.80
15732.28,74240142.71,3.80
16395.17,74268537.43,3.81
17054.62,74296784.87,3.81
16854.87,74288319.31,3.81
15695.05,74238954.00,3.81
14862.32,74203510.77,3.81
14029.87,74168079.16,3.81
13578.46,74147991.06,3.81
13733.07,74149646.41,3.81
13887.23,74151296.96,3.81
14014.40,74152658.52,3.81
15489.62,79117544.20,3.81
25281.46,114095611.31,3.81
39245.02,163975771.29,4.08
48666.74,197631741.86,4.08
53286.38,210091683.75,4.08
60892.57,221976439.06,4.08
66428.53,230626443.20,4.05
72044.49,239401438.91,4.05
72481.23,240074314.50,4.05
