freq,util,power
1200000.00,47.89,4.82
1200000.00,47.74,4.82
1200000.00,47.62,4.82
1200000.00,47.62,4.82
1200000.00,47.62,4.81
1200000.00,47.54,4.81
1200000.00,47.18,4.81
1200000.00,46.88,4.81
1200000.00,47.18,4.74
1200000.00,48.41,4.74
1200000.00,49.22,4.74
1200000.00,48.82,4.74
1200000.00,48.28,4.74
1200000.00,47.75,4.74
1200000.00,48.09,4.74
1200000.00,49.98,4.74
1200000.00,51.50,4.96
1200000.00,51.66,4.96
1200000.00,51.95,4.96
1200000.00,52.15,4.96
1200000.00,51.52,4.78
1200000.00,49.19,4.78
1200000.00,47.61,4.78
1200000.00,46.77,4.78
1200000.00,46.71,4.68
1200000.00,46.68,4.68
1200000.00,46.65,4.68
1200000.00,46.62,4.68
1200000.00,46.56,4.70
1200000.00,46.53,4.70
1200000.00,46.50,4.70
1200000.00,46.47,4.70
1200000.00,46.43,4.80
1200000.00,46.40,4.80
1200000.00,46.37,4.80
1200000.00,46.33,4.80
1200000.00,46.29,4.99
1200000.00,46.26,4.99
1200000.00,46.23,4.99
1200000.00,46.19,4.99
1200000.00,46.15,5.36
1200000.00,46.11,5.36
1200000.00,46.08,5.36
1200000.00,46.05,5.36
1200000.00,46.00,5.25
1200000.00,45.97,5.25
1200000.00,45.94,5.25
1200000.00,45.90,5.25
1200000.00,45.86,5.32
1200000.00,45.83,5.32
1200000.00,45.80,5.32
1200000.00,45.76,5.32
1200000.00,59.52,5.37
1200000.00,69.20,5.37
1200000.00,69.58,5.37
1200000.00,69.88,5.37
1200000.00,70.16,5.42
1200000.00,70.21,5.42
1200000.00,70.26,5.42
1200000.00,70.30,5.42
1200000.00,70.22,5.38
1200000.00,69.96,5.38
1200000.00,69.79,5.38
1200000.00,69.72,5.38
1200000.00,69.91,5.30
1200000.00,70.03,5.30
1200000.00,70.14,5.30
1200000.00,69.72,5.30
1200000.00,69.17,5.28
1200000.00,68.76,5.28
1200000.00,68.67,5.28
1200000.00,68.71,5.28
1200000.00,68.74,5.40
1200000.00,68.87,5.40
1200000.00,69.51,5.40
1200000.00,70.02,5.40
1200000.00,70.58,5.38
1200000.00,70.44,5.38
1200000.00,70.32,5.38
1200000.00,70.21,5.38
1200000.00,70.09,5.39
1200000.00,69.92,5.39
1200000.00,69.79,5.39
1200000.00,69.63,5.39
