phase, avg pwr, total energy, total time
idle,3.106573,15.548667,5.005086
turn_on,3.107305,0.511562,0.164632
turn_on_idle,3.311578,16.563670,5.001746
connect,3.261330,3.509148,1.075987
connect_idle,3.258307,16.308101,5.005084
100000,3.267846,2.410631,0.737682
50000,3.260729,0.008028,0.002462
20000,3.273877,0.008047,0.002458
10000,3.255992,0.008293,0.002547
5000,3.260910,0.008472,0.002598
2000,3.271808,0.008624,0.002636
1000,3.259920,0.008023,0.002461
500,3.313521,8.478267,2.558688
200,3.276257,0.009472,0.002891
100,3.272354,143.695625,43.912005
50,3.266988,193.201133,59.137388
20,3.238901,702.285775,216.828449
