phase, avg pwr, total energy, total time
idle,3.274884,16.390985,5.005059
turn_on,3.545462,0.373695,0.105401
turn_on_idle,3.477461,17.404911,5.005063
connect,3.461154,0.302501,0.087399
connect_idle,3.440169,17.218231,5.005054
1000000,3.473250,0.281236,0.080972
500000,3.432226,0.005560,0.001620
200000,3.432266,0.005674,0.001653
50000,3.444914,0.005333,0.001548
20000,3.433708,0.005260,0.001532
10000,3.434698,0.005362,0.001561
5000,3.446244,0.005538,0.001607
2000,3.432073,0.005327,0.001552
1000,3.431593,0.005370,0.001565
500,3.433603,0.010579,0.003081
200,3.455246,9.325817,2.699031
100,3.447193,157.329730,45.639950
50,3.442947,250.270728,72.690835
20,3.396372,664.962704,195.786168
