15.05,187
15.07,304
15.09,422
15.11,538
15.12,655
15.15,771
15.13,888
15.13,1003
15.20,1119
15.17,1236
15.14,1352
15.17,1468
15.19,1585
15.20,1702
15.16,1817
15.17,1934
15.19,2051
15.23,2167
15.19,2283
15.21,2400
15.19,2516
15.21,2632
15.24,2749
15.20,2866
15.22,2983
15.23,3099
15.25,3216
15.20,3333
15.21,3450
15.24,3566
15.28,3684
15.26,3802
15.26,3919
15.27,4036
15.28,4154
15.29,4271
15.27,4389
15.31,4505
15.30,4622
15.33,4740
15.34,4858
15.33,4975
15.31,5093
15.29,5211
15.33,5329
15.32,5446
15.37,5564
15.34,5682
15.38,5800
15.39,5917
15.42,6035
15.40,6153
15.37,6271
15.36,6389
15.38,6506
15.39,6624
15.46,6742
15.42,6860
15.42,6977
15.43,7095
15.46,7213
15.41,7331
15.45,7448
15.42,7566
15.45,7684
15.44,7802
15.51,7919
15.45,8037
15.43,8155
15.51,8272
15.55,8389
15.51,8507
15.53,8624
15.49,8742
15.47,8859
15.51,8976
15.51,9094
15.51,9212
15.53,9328
15.51,9446
15.54,9564
15.53,9681
15.52,9798
15.55,9916
15.61,10033
15.61,10151
15.57,10268
15.59,10385
15.59,10503
15.57,10621
15.59,10737
15.57,10855
15.61,10973
15.61,11090
15.61,11207
15.55,11325
15.62,11442
15.65,11560
15.65,11677
15.65,11794
15.64,11912
15.65,12030
15.59,12146
15.61,12264
15.64,12382
15.62,12499
15.67,12616
15.63,12734
15.62,12851
15.62,12969
15.68,13087
15.64,13203
15.65,13321
15.62,13439
15.60,13556
15.63,13673
15.66,13791
15.66,13908
15.67,14026
15.66,14143
15.72,14260
15.68,14378
15.70,14496
15.70,14612
15.67,14730
15.68,14848
15.70,14965
15.72,15082
15.71,15200
15.75,15317
15.71,15435
15.74,15552
15.78,15669
15.75,15785
15.74,15901
15.73,16018
15.76,16135
15.74,16252
15.77,16368
15.82,16484
15.77,16601
15.78,16718
15.76,16834
15.80,16952
15.79,17068
15.78,17184
15.74,17300
15.78,17417
15.80,17533
15.81,17649
15.85,17766
15.80,17882
15.83,17999
15.81,18115
15.82,18232
15.81,18349
15.84,18466
15.80,18581
15.82,18698
15.84,18815
15.81,18930
15.76,19047
15.81,19164
15.83,19281
15.79,19397
15.84,19514
15.83,19630
15.80,19747
15.82,19863
15.81,19980
15.84,20097
15.81,20214
15.81,20330
15.84,20447
15.85,20564
15.82,20679
15.79,20796
15.85,20913
15.85,21030
15.85,21146
15.85,21263
15.86,21379
15.89,21496
15.90,21611
15.84,21727
15.90,21844
15.84,21959
15.88,22076
15.90,22193
15.89,22309
15.85,22424
15.87,22541
15.87,22658
15.87,22775
15.81,22891
15.82,23008
15.84,23124
15.85,23239
15.87,23356
15.90,23472
15.87,23588
15.91,23704
15.90,23821
15.92,23937
15.85,24053
15.88,24168
15.90,24284
15.91,24401
15.91,24516
15.92,24632
15.90,24748
15.91,24864
15.92,24979
15.92,25096
15.93,25212
15.90,25327
15.90,25444
15.92,25560
15.90,25676
15.92,25791
15.93,25908
15.91,26024
15.91,26140
15.92,26256
15.91,26372
15.92,26488
15.93,26603
15.92,26719
15.91,26836
15.95,26952
15.95,27068
15.94,27186
15.95,27302
15.92,27419
15.95,27536
15.93,27653
15.95,27769
15.95,27885
15.95,28001
15.95,28117
15.90,28234
15.96,28349
15.94,28465
15.96,28582
15.96,28698
15.95,28814
15.93,28931
15.93,29048
15.96,29164
15.94,29282
15.96,29398
15.95,29514
15.95,29632
15.98,29749
15.96,29866
15.98,29985
15.97,30100
15.98,30217
15.97,30334
15.96,30453
15.96,30568
15.97,30684
15.97,30801
15.96,30916
15.98,31032
15.95,31149
15.96,31266
15.95,31381
15.95,31501
15.95,31617
15.98,31733
15.95,31851
15.97,31967
15.96,32086
15.96,32203
15.97,32319
15.96,32435
15.97,32552
15.95,32668
15.96,32785
15.97,32902
15.96,33018
15.96,33133
15.97,33250
15.97,33366
15.97,33482
15.98,33598
15.97,33717
15.97,33833
15.99,33951
15.97,34069
15.98,34186
15.97,34302
15.97,34418
15.98,34534
15.98,34653
15.99,34769
15.97,34884
15.98,35002
15.97,35119
15.97,35238
15.97,35355
15.98,35472
15.97,35588
15.97,35706
15.97,35822
15.97,35940
15.97,36056
15.98,36173
15.98,36289
15.97,36407
15.99,36523
15.98,36639
15.98,36757
15.97,36874
15.98,36992
15.98,37112
15.99,37229
15.98,37347
15.98,37464
15.98,37586
15.98,37701
15.98,37818
15.98,37936
15.99,38055
16.00,38170
15.98,38288
15.99,38405
15.97,38522
15.99,38638
15.98,38760
15.97,38876
15.99,38992
15.98,39108
15.99,39224
15.99,39341
15.98,39459
15.99,39574
15.98,39691
15.99,39807
15.99,39922
15.99,40041
15.99,40158
15.99,40274
15.98,40389
15.98,40506
15.98,40622
15.98,40739
15.99,40855
