phase, avg util, total util, total time
idle,31.165295,155.985856,5.005114
turn_on,54.476117,10.681187,0.196071
turn_on_idle,31.630721,158.314859,5.005098
scan,31.618517,662.115197,20.940742
scan_idle,32.064510,160.485825,5.005092
connect,32.354268,133.653993,4.130954
connect_idle,32.067616,160.391984,5.001681
200,33.365322,0.032731,0.000981
500,30.430520,0.029791,0.000979
1000,32.643174,0.029281,0.000897
2000,30.599000,0.035678,0.001166
5000,31.314419,0.025991,0.000830
10000,31.707372,0.066142,0.002086
20000,31.545732,0.102019,0.003234
50000,32.776326,24.651599,0.752116
100000,31.969098,178.432773,5.581414
200000,32.014780,492.398903,15.380362
500000,31.888407,1434.811973,44.994784
1000000,32.091905,2787.705897,86.866326
