idle,2.080018,7.085080
turn_on,8.086219,8.268783
turn_on_idle,8.268903,13.273967
scan,14.275243,30.346747
scan_idle,30.346798,35.351843
connect,36.352961,40.699134
connect_idle,40.699200,45.704251
200,49.708489,49.708610
200,53.712738,53.712856
200,57.716992,57.717093
200,61.721209,61.721324
200,65.725443,65.725561
500,69.729832,69.729968
500,73.734090,73.734207
500,77.738328,77.738459
500,81.742585,81.742703
500,85.746814,85.746936
1000,89.751172,89.751294
1000,93.755438,93.755561
1000,97.759740,97.759859
1000,101.763990,101.764112
1000,105.768233,105.768348
2000,109.772559,109.772705
2000,113.776825,113.776955
2000,117.781083,117.781225
2000,121.785347,121.785489
2000,125.789609,125.789748
5000,129.793987,129.794230
5000,133.798378,133.798601
5000,137.802722,137.802951
5000,141.807071,141.807322
5000,145.811437,145.811667
10000,149.815898,149.816243
10000,153.820375,153.820680
10000,157.824809,157.825156
10000,161.829290,161.829633
10000,165.833765,165.834087
20000,169.838341,169.838895
20000,173.843030,173.843590
20000,177.847715,177.848255
20000,181.852378,181.852930
20000,185.857050,185.857602
50000,189.861866,189.992256
50000,193.996386,193.997193
50000,198.001330,198.002334
50000,202.006463,202.310002
50000,206.314145,206.314975
100000,210.319278,212.197723
100000,216.201858,217.709086
100000,221.713227,222.172937
100000,226.177079,227.997914
100000,232.002054,233.498121
200000,237.502674,239.293163
200000,243.297311,247.298476
200000,251.302617,253.396059
200000,257.400194,261.308643
200000,265.312776,268.518829
500000,272.524084,283.310372
500000,287.314516,295.799308
500000,299.803452,304.919567
500000,308.923705,317.956050
500000,321.960195,332.848824
1000000,336.854964,353.471602
1000000,357.475758,374.508253
1000000,378.512392,395.701395
1000000,399.705538,416.050496
1000000,420.054637,437.304387
