idle,1.058902,6.060926
turn_on,7.062269,7.266689
turn_on_idle,7.266895,12.271016
connect,18.276354,18.308632
connect_idle,18.308765,23.310932
100000,28.709128,28.810575
50000,34.210975,34.211714
20000,39.610963,39.611550
10000,45.010442,45.011264
5000,50.419591,50.420275
2000,55.820952,55.821578
1000,61.210979,61.211678
500,66.610013,66.610970
200,72.006333,72.007020
100,77.400966,77.401379
500,82.810985,82.811694
200,88.200937,88.201633
100,93.600957,93.601342
50,99.007220,112.519985
20,117.920970,117.921816
