phase, avg util, total util, total time
idle,31.441083,157.225882,5.000651
turn_on,51.111100,5.281617,0.103336
turn_on_idle,32.081035,160.571899,5.005197
connect,30.000000,2.944650,0.098155
connect_idle,31.656523,158.299329,5.000528
set_bw,48.414417,10.675379,0.220500
200,32.330603,0.028516,0.000882
500,32.522504,0.036685,0.001128
1000,31.807085,0.034606,0.001088
2000,33.339672,0.046409,0.001392
5000,33.781989,0.043883,0.001299
10000,31.774205,0.048519,0.001527
20000,31.462716,0.065600,0.002085
50000,31.732341,0.067971,0.002142
100000,32.243889,4.164169,0.129146
200000,31.553581,109.715303,3.477111
500000,32.187013,541.777535,16.832178
1000000,32.111117,1278.469483,39.813921
2000000,32.298348,2570.496379,79.586001
5000000,32.270778,6786.427704,210.296377
