phase, avg pwr, total energy, total time
idle,3.315387,16.593692,5.005054
turn_on,3.440799,0.364098,0.105818
turn_on_idle,3.513849,17.587034,5.005063
connect,3.442732,0.256848,0.074606
connect_idle,3.438417,17.209467,5.005055
set_bw,3.573037,0.632878,0.177126
200,3.434691,0.002456,0.000715
500,3.452867,0.002445,0.000708
1000,3.431637,0.002265,0.000660
2000,3.428930,0.002750,0.000802
5000,3.433088,0.003076,0.000896
10000,3.444105,0.003396,0.000986
20000,3.430418,0.003410,0.000994
50000,3.433585,0.004014,0.001169
100000,3.447023,1.175745,0.341090
200000,3.476746,12.499604,3.595202
500000,3.481945,56.711670,16.287356
1000000,3.487008,137.472050,39.424067
2000000,3.487262,285.519803,81.875072
5000000,3.464967,741.352365,213.956566
