idle,2.435961,7.438749
turn_on,8.439946,8.628787
turn_on_idle,8.628920,13.633996
scan,14.635350,36.544054
scan_idle,36.544107,41.548730
connect,42.549892,44.567260
connect_idle,44.567335,49.568727
200,53.573046,53.573144
200,57.577404,57.577512
200,61.578684,61.579203
200,65.581560,65.581690
200,69.585846,69.586074
500,73.588754,73.588932
500,77.593098,77.593335
500,81.597506,81.597680
500,85.598809,85.598998
500,89.603187,89.603349
1000,93.607698,93.607905
1000,97.608833,97.609062
1000,101.613249,101.613429
1000,105.617605,105.617795
1000,109.618694,109.618904
2000,113.623239,113.623493
2000,117.627674,117.627939
2000,121.628706,121.628922
2000,125.633087,125.633356
2000,129.637536,129.637789
5000,133.638761,133.639221
5000,137.643478,137.643838
5000,141.648031,141.648443
5000,145.652800,145.653222
5000,149.657406,149.657756
10000,153.658686,153.659158
10000,157.663330,157.663916
10000,161.668098,161.668955
10000,165.673169,165.673783
10000,169.677973,169.678691
20000,173.683323,173.684188
20000,177.688389,177.689338
20000,181.693554,181.694457
20000,185.698788,185.699777
20000,189.703984,189.704873
50000,193.708794,194.072712
50000,198.076907,198.077962
50000,202.078680,202.079947
50000,206.084120,206.384060
50000,210.388245,210.389704
100000,214.394454,215.884309
100000,219.888694,221.273233
100000,225.277423,225.743402
100000,229.747575,230.421005
100000,234.424983,236.184589
200000,240.188692,242.270877
200000,246.275053,250.281161
200000,254.285378,257.522542
200000,261.526748,264.777545
200000,268.778677,272.857991
500000,276.863484,287.885400
500000,291.888681,300.681990
500000,304.686183,309.698334
500000,313.698706,322.945090
500000,326.948868,337.927638
1000000,341.934075,358.775696
1000000,362.778697,379.975850
1000000,383.978691,400.997389
1000000,404.998772,421.429647
1000000,425.433916,443.476933
