time,freq,util
.147615729,600000,38.9831
.331717864,600000,34.2466
.514761458,600000,32.3944
.700119062,600000,31.5068
.884911979,600000,31.9444
1.071384635,600000,31.5068
1.254701093,600000,31.4286
1.440451614,600000,30.5556
1.623887343,600000,33.7838
1.810944166,600000,30.9859
1.995112291,600000,30
2.181444218,600000,34.2105
2.366652447,600000,31.9444
2.550554530,600000,30.9859
2.734811561,600000,31.9444
2.918631249,600000,30
3.103596822,600000,31.9444
3.288851301,600000,31.9444
3.473506874,600000,31.9444
3.657139842,600000,31.9444
3.841593592,600000,32.8767
4.025000467,600000,34.2466
4.209651925,600000,29.5775
4.394531769,600000,31.9444
4.579109790,600000,30.9859
4.767107498,600000,30.5556
4.953090571,600000,34.2466
5.138504842,600000,30.5556
5.323044373,600000,33.3333
5.507401769,600000,32.4324
5.691789894,600000,33.7838
5.875465414,600000,31.4286
6.060000727,600000,30.9859
6.245292237,600000,30.9859
6.431502445,600000,31.5068
6.614822081,600000,32.3944
6.798230102,600000,30
6.982826039,600000,33.7838
7.186017237,600000,49.3506
7.386466143,600000,42.5
7.574494945,600000,29.5775
7.769022601,600000,34.6667
7.954851039,600000,31.9444
8.139047341,600000,30
8.324946195,600000,32.3944
8.537162549,600000,35.443
8.721744372,600000,32.8767
8.906528486,600000,28.9855
9.090486038,600000,30.9859
9.282083538,600000,37.1795
9.466638382,600000,32.8767
9.651245048,600000,31.9444
9.837129788,600000,31.9444
10.023363225,600000,32.8767
10.206851142,600000,30.9859
10.392573121,600000,36.3636
10.576731402,600000,32.3944
10.764171923,600000,30.5556
10.948448537,600000,31.9444
11.133289267,600000,31.9444
11.318657131,600000,33.3333
11.503459423,600000,32.4324
11.687189423,600000,32.3944
11.871366298,600000,32.8767
12.054809891,600000,30.9859
12.239227704,600000,30.4348
12.424980777,600000,34.6667
12.609169891,600000,30.9859
12.794556089,600000,35.1351
12.979423380,600000,30.9859
13.163433797,600000,31.9444
13.354013120,600000,36.3636
13.537199422,600000,30
13.722277026,600000,34.2466
13.905986713,600000,30.9859
14.090545307,600000,31.9444
14.304082442,600000,56.4706
14.508192078,600000,42.6667
14.692970046,600000,32.8767
14.879923380,600000,30.9859
15.065655098,600000,32.8767
15.251768484,600000,32.3944
15.436640723,600000,30
15.619680307,600000,30.4348
15.803583171,600000,30.9859
15.991792181,600000,33.7838
16.175440983,600000,33.7838
16.363608015,600000,31.5068
16.551347390,600000,31.5068
16.735819994,600000,32.3944
16.919081660,600000,28.9855
17.103740983,600000,32.8767
17.289984889,600000,29.5775
17.488368066,600000,33.7838
17.690089837,600000,35.8974
17.873276087,600000,33.7838
18.057702962,600000,34.2466
18.244692285,600000,31.5068
18.432256503,600000,35.5263
18.614803899,600000,30.9859
18.801452649,600000,37.3333
18.984951712,600000,30.9859
19.169417284,600000,28.9855
19.353926399,600000,32.8767
19.538384993,600000,30
19.724527284,600000,31.9444
19.908389367,600000,30
20.094161086,600000,31.9444
20.279316034,600000,28.9855
20.463949211,600000,33.7838
20.648240669,600000,30.4348
20.832519419,600000,32.8767
21.015876763,600000,32.8767
21.202207440,600000,31.9444
21.386312336,600000,31.9444
21.571865044,600000,33.7838
21.756344679,600000,29.5775
21.941530148,600000,33.7838
22.125474106,600000,30.9859
22.310398533,600000,30.9859
22.495890096,600000,31.9444
22.680561398,600000,31.9444
22.865443325,600000,30.9859
23.049817335,600000,30
23.233471085,600000,33.3333
23.417793012,600000,30
23.602784418,600000,33.3333
23.785494574,600000,33.3333
23.969500408,600000,30
24.154008428,600000,32.8767
24.342409939,600000,32.4324
24.544789105,600000,50
24.771531397,600000,52.9412
24.966544365,600000,34.6667
25.151186136,600000,32.8767
25.335923272,600000,30.9859
25.521099574,600000,31.9444
25.705166136,600000,32.3944
25.889990876,600000,30.5556
26.075410823,600000,30.9859
26.260537282,600000,31.9444
26.445527177,600000,30.9859
26.631068063,600000,31.5068
26.815459677,600000,30.9859
27.001190771,600000,30.9859
27.185695406,600000,31.9444
27.371297385,600000,31.9444
27.554488062,600000,32.8767
27.738569833,600000,30
27.926946812,600000,31.5068
28.111939156,600000,32.8767
28.295522073,600000,31.9444
28.482315927,600000,31.5068
28.666509312,600000,30.9859
28.859660614,600000,35.0649
29.043390666,600000,33.3333
29.228602593,600000,31.5068
29.413879780,600000,33.7838
29.600125301,600000,29.5775
29.785920978,600000,30.9859
29.972041707,600000,31.5068
30.156437280,600000,31.9444
30.341603166,600000,34.2466
30.524451863,600000,32.8767
30.710245613,600000,31.9444
30.895821499,600000,29.5775
31.082499467,600000,33.7838
31.267017436,600000,31.9444
31.451410926,600000,32.8767
31.635441915,600000,31.9444
31.821140977,600000,33.7838
32.005278321,600000,31.9444
32.188665040,600000,30
32.372836238,600000,33.7838
32.558708269,600000,30.9859
32.743270248,600000,31.9444
32.934945352,600000,36.3636
33.118850873,600000,30
33.304007227,600000,33.7838
33.488926185,600000,30
33.673746029,600000,33.3333
33.858681445,600000,30.9859
34.043706133,600000,31.9444
34.228070872,600000,30
34.412115039,600000,34.6667
34.595780508,600000,30.9859
34.781114570,600000,31.9444
34.965891341,600000,31.9444
35.149585299,600000,31.4286
35.333842018,600000,32.8767
35.517876601,600000,30
35.702415924,600000,33.7838
35.886319101,600000,31.9444
36.071755351,600000,32.8767
36.257783945,600000,31.9444
36.443048372,600000,34.6667
36.626962694,600000,30.9859
36.811637486,600000,33.3333
36.998331861,600000,34.2466
37.182715819,600000,33.7838
37.367170246,600000,30.9859
37.551274152,600000,31.9444
37.739518319,600000,31.0811
37.923740715,600000,33.3333
38.106755975,600000,30
38.290632850,600000,31.9444
38.475230350,600000,30.9859
38.660258839,600000,31.9444
38.845048527,600000,30.9859
39.030286183,600000,30.5556
39.215101287,600000,31.4286
39.398389985,600000,30
39.583541704,600000,31.9444
39.768391495,600000,30.9859
39.953602433,600000,31.5068
40.138287693,600000,29.4118
40.322602172,600000,33.7838
40.507116495,600000,31.9444
40.691412432,600000,33.3333
40.883625974,600000,32.8767
41.067155245,600000,31.4286
41.252855557,600000,32.4324
41.438283786,600000,30.9859
41.624176859,600000,33.3333
41.807848630,600000,31.9444
41.992845401,600000,33.7838
42.177151807,600000,30
42.362036963,600000,32.8767
42.546554411,600000,31.9444
42.730413734,600000,30.9859
42.914799046,600000,30
43.099879619,600000,31.9444
43.284823733,600000,32.8767
43.468156129,600000,30
43.653655452,600000,32.8767
43.840485035,600000,30.5556
44.025542692,600000,30.9859
44.209868525,600000,30
44.394964410,600000,31.9444
44.579920348,600000,30.5556
44.764238785,600000,31.9444
44.954922222,600000,32.8767
45.137974618,600000,30.4348
45.322548681,600000,34.2466
45.506031649,600000,31.9444
45.690300295,600000,30.9859
45.875133941,600000,30.9859
46.059654305,600000,29.5775
46.244071493,600000,32.8767
46.430148732,600000,30.9859
46.614926805,600000,30.9859
46.798834618,600000,31.9444
46.988933420,600000,34.2105
47.173706024,600000,32.4324
47.358437899,600000,30
47.543419982,600000,31.9444
47.728087951,600000,31.9444
47.930609200,600000,33.3333
48.128267117,600000,32.8767
48.314417482,600000,30.5556
48.499834982,600000,30.9859
48.684595450,600000,32.8767
48.879815919,600000,32.8947
49.063963210,600000,31.9444
49.248649356,600000,30
49.433253054,600000,31.9444
49.618308887,600000,32.8767
49.803231335,600000,34.6667
49.987486908,600000,31.9444
50.171848575,600000,33.7838
50.356547272,600000,30.9859
50.541612377,600000,32.8767
50.725582376,600000,30.9859
50.910831543,600000,31.9444
51.094788939,600000,30.9859
51.279441543,600000,31.9444
51.464014616,600000,32.8767
51.648593470,600000,30
51.833597689,600000,31.9444
52.018772168,600000,30.9859
52.202831491,600000,33.3333
52.386403522,600000,30.9859
52.571494615,600000,31.9444
52.756168886,600000,30.9859
52.949814824,600000,31.5068
53.134246542,600000,32.8767
53.319548782,600000,30.5556
53.504206073,600000,32.8767
53.689371646,600000,30.9859
53.873732323,600000,34.6667
54.058766646,600000,28.9855
