idle,1.043162,6.048258
turn_on,7.049546,7.208720
turn_on_idle,7.208908,12.214009
connect,18.221116,18.308490
connect_idle,18.308591,23.313666
set_bw,24.314952,24.633191
200,28.637626,28.637900
200,32.642199,32.642400
200,36.646651,36.646829
200,40.651084,40.651290
200,44.655545,44.655745
500,48.660127,48.660356
500,52.664619,52.664822
500,56.669072,56.669359
500,60.673615,60.673819
500,64.678077,64.678283
1000,68.682674,68.682881
1000,72.687141,72.687341
1000,76.691594,76.691798
1000,80.696073,80.696277
1000,84.700539,84.700739
2000,88.705097,88.705353
2000,92.709627,92.709870
2000,96.714124,96.714364
2000,100.718614,100.718856
2000,104.723124,104.723368
5000,108.727778,108.728063
5000,112.732332,112.732606
5000,116.736864,116.737106
5000,120.741347,120.741625
5000,124.745891,124.746166
10000,128.750581,128.750876
10000,132.755135,132.755424
10000,136.759237,136.759526
10000,140.763788,140.764083
10000,144.768344,144.768633
20000,148.773112,148.773422
20000,152.777693,152.777995
20000,156.782258,156.782562
20000,160.786820,160.787107
20000,164.791349,164.791659
50000,168.796189,168.796554
50000,172.800824,172.801182
50000,176.805449,176.805812
50000,180.810073,180.810434
50000,184.814707,184.815064
100000,188.819749,188.938534
100000,192.942822,192.943278
100000,196.947544,196.947972
100000,200.952225,200.952690
100000,204.956961,204.957421
200000,208.962480,209.611690
200000,213.615981,214.258417
200000,218.259234,218.903633
200000,222.907911,223.549693
200000,227.553982,228.195105
500000,232.200958,235.545524
500000,239.549813,242.896749
500000,246.901033,250.246652
500000,254.249255,257.593821
500000,261.598105,264.942612
1000000,268.950176,277.083104
1000000,281.087394,289.021910
1000000,293.026191,300.593340
1000000,304.597619,312.488125
1000000,316.492412,324.325357
2000000,328.336112,344.832056
2000000,348.836341,365.362906
2000000,369.367196,385.850558
2000000,389.854854,406.328503
2000000,410.332786,426.864439
5000000,430.884738,473.805554
5000000,477.809850,520.676399
5000000,524.680685,567.601638
5000000,571.605923,614.470067
5000000,618.474320,661.338817
