L1-dcache-loads,L1-dcache-stores,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,r110,r13C,r1A2,r1C2,power
3365505.60,3519840.59,1146087.53,152235.86,15007.22,3653089.74,17647503.09,9789647.97,171902.33,0.00,0.00,996.44,3.13
3420290.34,3876782.96,1237299.86,159639.38,14298.70,3884628.45,17466724.37,9385738.69,168225.27,0.00,0.00,1118.69,3.13
3473070.11,4220662.19,1325174.05,166771.95,13616.11,4107693.47,17292561.66,8996611.39,164682.78,0.00,0.00,1236.47,3.13
3512871.24,4479980.96,1391439.84,172150.61,13101.36,4275906.43,17161225.84,8703171.13,162011.39,0.00,0.00,1325.29,3.13
3589811.15,4538798.08,1402296.32,172013.44,13865.13,4257852.22,16893539.73,8760490.48,159762.98,0.00,0.00,1369.98,3.13
3847354.19,4438335.29,1359849.51,164474.97,17603.65,3966769.41,15988233.39,9372069.22,154196.12,0.00,0.00,1434.21,3.13
4102565.82,4338781.95,1317786.95,157004.73,21308.32,3678321.62,15091122.32,9978111.66,148679.66,0.00,0.00,1497.85,3.13
4291916.38,4264919.79,1286579.25,151462.30,24056.94,3464311.97,14425523.78,10427756.05,144586.80,0.00,0.00,1545.08,3.13
4285459.26,4173049.75,1263956.01,149732.65,24267.08,3399564.38,14225916.16,10550982.53,145388.26,0.00,0.00,1498.66,3.13
3974452.80,3899361.92,1216085.26,150806.72,21024.15,3449571.06,14388834.13,10392302.56,154880.66,0.00,0.00,1233.57,3.13
3667259.76,3629029.93,1168801.48,151867.61,17820.97,3498964.58,14549754.47,10235568.25,164256.67,0.00,0.00,971.74,3.13
3435606.00,3425173.02,1133144.85,152667.63,15405.47,3536212.15,14671104.23,10117375.16,171327.10,0.00,0.00,774.29,3.13
3401004.77,3409021.05,1149800.60,156423.89,15690.76,3657004.70,15179999.47,9983459.88,172969.94,0.00,0.00,726.81,3.13
3668373.65,3707210.55,1287665.61,171500.95,21321.20,4120979.49,17199145.52,9608368.92,167390.94,0.00,0.00,875.58,3.13
3942340.71,4012758.82,1428932.89,186950.08,27090.60,4596404.34,19268120.43,9224021.40,161674.26,0.00,0.00,1028.02,3.14
4148938.83,4243172.28,1535462.30,198600.24,31441.30,4954921.44,20828331.02,8934185.57,157363.32,0.00,0.00,1142.97,3.14
4256056.46,4352195.60,1569044.90,201667.30,32889.88,5028911.60,21152909.17,8889888.23,154709.60,0.00,0.00,1243.46,3.14
4287495.15,4336071.02,1479122.44,188864.80,29595.19,4534961.41,19015984.13,9365283.53,152001.72,0.00,0.00,1461.42,3.14
4321768.82,4318492.40,1381091.21,174907.84,26003.39,3996469.20,16686361.62,9883547.67,149049.66,0.00,0.00,1699.02,3.13
4346794.04,4305657.22,1309512.86,164717.04,23380.81,3603284.42,14985367.41,10261962.75,146894.19,0.00,0.00,1872.52,3.13
4331809.10,4254828.56,1263122.23,158952.51,22824.65,3413516.87,14206417.43,10417650.41,147091.38,0.00,0.00,2123.66,3.13
4186572.77,4026203.98,1216196.12,156624.05,27029.15,3492767.87,14766951.92,10201763.11,153936.34,0.00,0.00,2955.89,3.13
4031156.14,3781554.02,1165980.73,154132.39,31528.36,3577573.94,15366776.94,9970743.25,161261.11,0.00,0.00,3846.46,3.13
3913956.71,3597063.88,1128113.39,152253.43,34921.20,3641526.06,15819104.00,9796531.55,166784.70,0.00,0.00,4518.04,3.13
3826956.92,3488457.46,1107855.26,152215.06,35814.72,3718809.13,16171525.50,9640965.59,169708.27,0.00,0.00,4715.42,3.13
3726889.01,3501012.87,1122635.59,158749.81,28960.69,3952282.58,16657632.84,9334742.55,167363.75,0.00,0.00,3481.86,3.13
3612679.83,3515342.57,1139504.64,166208.02,21138.07,4218749.73,17212435.27,8985245.08,164687.91,0.00,0.00,2073.98,3.14
3529289.00,3525805.53,1151821.72,171653.70,15426.32,4413313.04,17617529.11,8730056.45,162734.12,0.00,0.00,1046.01,3.14
3528396.85,3577418.64,1167603.00,174700.43,12409.45,4519859.47,17820111.76,8580600.90,160605.29,0.00,0.00,450.44,3.14
3855835.24,3860129.18,1217629.56,172106.57,16253.72,4412679.65,17475903.14,8660132.31,155024.14,0.00,0.00,811.56,3.14
4201496.85,4158573.65,1270440.30,169368.36,20311.94,4299534.85,17112537.99,8744089.94,149132.38,0.00,0.00,1192.79,3.12
4476854.40,4396317.55,1312509.86,167187.06,23544.75,4209402.56,16823077.61,8810971.45,144438.95,0.00,0.00,1496.47,3.12
4638568.28,4510048.03,1331564.81,165126.71,25333.94,4123452.14,16548224.85,8909268.12,141825.55,0.00,0.00,1678.41,3.12
4472545.62,4185581.47,1266664.49,160990.69,22619.45,3946845.12,15989287.05,9281769.86,145655.63,0.00,0.00,1520.40,3.12
4283859.43,3816822.42,1192904.73,156290.07,19534.41,3746129.73,15354049.42,9705121.31,150008.55,0.00,0.00,1340.83,3.13
4141571.48,3538741.83,1137282.61,152745.34,17207.99,3594770.58,14875017.76,10024369.95,153291.08,0.00,0.00,1205.41,3.13
4019953.19,3338246.52,1097822.57,150888.51,15397.37,3514094.67,14612616.26,10231251.84,156379.90,0.00,0.00,1091.58,3.13
3879169.29,3388004.32,1113395.60,157628.61,14649.23,3789757.18,15423260.30,9970611.46,162101.30,0.00,0.00,974.38,3.13
