freq,util,power
600000.00,35.31,3.61
600000.00,33.87,3.61
600000.00,32.73,3.61
600000.00,31.59,3.61
600000.00,31.44,3.54
600000.00,33.36,3.54
600000.00,34.81,3.54
600000.00,36.28,3.54
600000.00,36.40,3.54
600000.00,35.08,3.54
600000.00,34.19,3.54
600000.00,33.31,3.54
600000.00,32.16,3.55
600000.00,31.32,3.55
600000.00,30.48,3.55
600000.00,30.15,3.55
600000.00,31.26,3.54
600000.00,31.97,3.54
600000.00,32.68,3.54
600000.00,32.74,3.54
600000.00,32.11,3.54
600000.00,31.75,3.54
600000.00,31.41,3.54
600000.00,31.03,3.54
600000.00,30.55,3.54
600000.00,30.20,3.54
600000.00,30.22,3.54
600000.00,31.38,3.54
600000.00,32.68,3.54
600000.00,33.63,3.54
600000.00,33.69,3.54
600000.00,33.36,3.54
600000.00,33.06,3.54
600000.00,32.84,3.54
600000.00,32.44,3.54
600000.00,32.08,3.54
600000.00,31.58,3.54
600000.00,31.54,3.54
600000.00,32.01,3.54
600000.00,32.37,3.54
600000.00,32.85,3.54
600000.00,32.77,3.54
600000.00,32.42,3.54
600000.00,32.19,3.54
600000.00,31.96,3.54
600000.00,32.09,3.54
600000.00,32.21,3.54
600000.00,32.32,3.54
600000.00,32.43,3.56
600000.00,32.60,3.56
600000.00,32.72,3.56
600000.00,32.84,3.56
600000.00,32.63,3.54
600000.00,31.91,3.54
600000.00,31.44,3.54
600000.00,30.99,3.54
600000.00,31.14,3.54
600000.00,31.25,3.54
600000.00,31.36,3.54
600000.00,31.50,3.54
600000.00,32.06,3.55
600000.00,32.43,3.55
600000.00,32.79,3.55
600000.00,32.79,3.55
600000.00,32.38,3.55
600000.00,32.15,3.55
600000.00,31.98,3.55
600000.00,32.48,3.55
600000.00,33.09,3.54
600000.00,33.54,3.54
600000.00,33.64,3.54
600000.00,32.90,3.54
600000.00,32.10,3.54
600000.00,31.51,3.54
600000.00,31.87,3.54
600000.00,33.33,3.54
600000.00,34.73,3.54
600000.00,35.35,3.54
600000.00,33.90,3.54
600000.00,32.61,3.54
600000.00,30.99,3.55
600000.00,30.40,3.55
600000.00,30.27,3.55
600000.00,30.16,3.55
600000.00,30.01,3.55
600000.00,30.34,3.55
600000.00,31.40,3.55
600000.00,32.11,3.55
600000.00,32.82,3.54
600000.00,32.40,3.54
600000.00,32.03,3.54
600000.00,31.67,3.54
600000.00,31.22,3.55
600000.00,30.40,3.55
600000.00,29.79,3.55
600000.00,29.16,3.55
600000.00,30.12,3.55
600000.00,33.40,3.55
600000.00,35.53,3.55
600000.00,37.71,3.55
600000.00,37.54,3.62
600000.00,36.79,3.62
600000.00,36.33,3.62
600000.00,35.88,3.62
600000.00,34.71,3.55
600000.00,33.92,3.55
600000.00,33.14,3.55
600000.00,32.72,3.55
600000.00,31.94,3.55
600000.00,31.47,3.55
600000.00,31.00,3.55
600000.00,31.16,3.55
600000.00,31.81,3.55
600000.00,32.17,3.55
600000.00,32.42,3.55
600000.00,32.56,3.55
600000.00,32.72,3.54
600000.00,32.84,3.54
600000.00,32.53,3.54
600000.00,31.21,3.54
600000.00,29.87,3.55
600000.00,29.03,3.55
600000.00,30.05,3.55
600000.00,31.02,3.55
600000.00,32.34,3.54
600000.00,32.74,3.54
600000.00,31.99,3.54
600000.00,31.37,3.54
600000.00,30.56,3.55
600000.00,30.90,3.55
600000.00,32.51,3.55
600000.00,33.67,3.55
600000.00,35.16,3.76
600000.00,35.75,3.76
600000.00,36.31,3.76
600000.00,36.88,3.76
600000.00,37.42,3.82
600000.00,36.67,3.82
600000.00,36.00,3.82
600000.00,35.32,3.82
600000.00,34.59,3.84
600000.00,34.35,3.84
600000.00,34.15,3.84
600000.00,33.94,3.84
600000.00,33.68,3.81
600000.00,33.24,3.81
600000.00,32.89,3.81
600000.00,32.54,3.81
600000.00,33.73,3.81
