freq,util,power
600000.00,57.53,3.78
600000.00,57.53,3.78
600000.00,57.39,3.78
600000.00,56.83,3.78
600000.00,56.53,3.78
600000.00,56.28,3.78
600000.00,55.90,3.78
600000.00,55.48,3.78
600000.00,55.15,3.78
600000.00,55.13,3.78
600000.00,55.36,3.78
600000.00,55.58,3.79
600000.00,55.75,3.79
600000.00,56.24,3.79
600000.00,56.70,3.79
600000.00,57.32,3.78
600000.00,57.49,3.78
600000.00,57.31,3.78
600000.00,57.15,3.78
600000.00,56.96,3.81
600000.00,56.81,3.81
600000.00,56.36,3.81
600000.00,56.05,3.81
600000.00,55.77,3.80
600000.00,56.28,3.80
600000.00,56.74,3.80
600000.00,57.20,3.80
600000.00,57.42,3.79
600000.00,56.95,3.79
600000.00,56.58,3.79
600000.00,56.22,3.79
600000.00,55.97,3.79
600000.00,55.88,3.79
600000.00,55.80,3.79
600000.00,55.73,3.79
600000.00,56.12,3.79
600000.00,57.27,3.79
600000.00,58.03,3.79
600000.00,58.62,3.79
600000.00,57.80,3.79
600000.00,57.21,3.79
600000.00,56.62,3.79
600000.00,56.43,3.79
600000.00,57.00,3.78
600000.00,57.37,3.78
600000.00,57.72,3.78
600000.00,57.43,3.78
600000.00,56.21,3.78
600000.00,55.54,3.78
600000.00,55.13,3.78
600000.00,55.53,3.78
600000.00,56.00,3.82
600000.00,56.34,3.82
600000.00,56.62,3.82
600000.00,56.89,3.82
600000.00,57.21,3.79
600000.00,57.46,3.79
600000.00,57.48,3.79
600000.00,57.29,3.79
600000.00,57.09,3.78
600000.00,56.94,3.78
600000.00,56.43,3.78
600000.00,55.92,3.78
600000.00,55.24,3.79
600000.00,55.06,3.79
600000.00,55.84,3.79
600000.00,56.50,3.79
600000.00,57.40,3.79
600000.00,57.42,3.79
600000.00,56.99,3.79
600000.00,56.69,3.79
600000.00,56.38,3.79
600000.00,56.92,3.79
600000.00,57.43,3.79
600000.00,57.94,3.79
600000.00,58.14,3.79
600000.00,57.28,3.79
600000.00,56.62,3.79
600000.00,55.96,3.79
600000.00,55.71,3.78
600000.00,55.71,3.78
600000.00,55.71,3.78
600000.00,55.71,3.78
600000.00,56.25,3.79
600000.00,56.65,3.79
600000.00,57.05,3.79
600000.00,57.28,3.79
600000.00,56.67,3.78
600000.00,56.26,3.78
600000.00,55.84,3.78
600000.00,55.66,3.78
600000.00,55.39,3.79
600000.00,55.23,3.79
600000.00,55.09,3.79
600000.00,55.72,3.79
600000.00,56.58,3.79
600000.00,57.20,3.79
600000.00,57.50,3.79
600000.00,57.32,3.79
600000.00,57.12,3.79
600000.00,56.97,3.79
600000.00,56.82,3.79
600000.00,56.37,3.79
600000.00,55.96,3.78
600000.00,55.75,3.78
600000.00,56.12,3.78
600000.00,56.45,3.78
600000.00,56.90,3.80
600000.00,57.14,3.80
600000.00,57.08,3.80
600000.00,57.03,3.80
600000.00,56.96,3.78
600000.00,56.91,3.78
600000.00,56.77,3.78
600000.00,56.66,3.78
600000.00,56.52,3.79
600000.00,56.43,3.79
600000.00,56.34,3.79
600000.00,56.25,3.79
600000.00,56.25,3.79
600000.00,56.72,3.79
600000.00,57.12,3.79
600000.00,57.52,3.79
600000.00,57.67,3.80
600000.00,57.38,3.80
600000.00,57.18,3.80
600000.00,56.98,3.80
600000.00,56.76,3.78
600000.00,56.27,3.78
600000.00,55.96,3.78
600000.00,55.71,3.78
600000.00,55.71,3.79
600000.00,55.71,3.79
600000.00,55.71,3.79
600000.00,55.94,3.79
600000.00,57.18,3.79
600000.00,57.90,3.79
600000.00,58.65,3.79
600000.00,58.53,3.79
600000.00,58.00,3.77
600000.00,57.71,3.77
600000.00,57.60,3.77
600000.00,58.02,3.77
600000.00,58.50,3.79
600000.00,58.85,3.79
600000.00,58.76,3.79
600000.00,57.87,3.79
600000.00,56.97,3.78
600000.00,56.34,3.78
600000.00,56.32,3.78
600000.00,56.30,3.78
600000.00,56.27,3.80
600000.00,56.25,3.80
600000.00,56.33,3.80
600000.00,56.59,3.80
600000.00,56.82,3.79
600000.00,56.94,3.79
600000.00,56.94,3.79
600000.00,56.94,3.79
600000.00,56.94,3.79
600000.00,56.84,3.79
600000.00,56.43,3.79
600000.00,56.12,3.79
600000.00,55.72,3.79
600000.00,55.92,3.79
600000.00,56.13,3.79
600000.00,56.33,3.79
600000.00,56.58,3.80
600000.00,56.89,3.80
600000.00,57.15,3.80
600000.00,57.40,3.80
600000.00,57.56,3.80
600000.00,57.63,3.80
600000.00,57.68,3.80
600000.00,57.74,3.80
600000.00,57.44,3.79
600000.00,56.62,3.79
600000.00,56.11,3.79
600000.00,55.71,3.79
600000.00,55.71,3.79
600000.00,55.71,3.79
600000.00,55.71,3.79
600000.00,55.76,3.79
600000.00,56.02,3.79
600000.00,56.18,3.79
600000.00,56.34,3.79
600000.00,56.50,3.79
600000.00,56.70,3.78
600000.00,56.85,3.78
600000.00,56.97,3.78
600000.00,57.15,3.78
600000.00,57.35,3.79
600000.00,57.51,3.79
600000.00,57.35,3.79
600000.00,56.70,3.79
600000.00,56.09,3.78
600000.00,55.70,3.78
600000.00,55.52,3.78
600000.00,55.36,3.78
600000.00,55.14,3.79
600000.00,55.15,3.79
600000.00,55.50,3.79
600000.00,55.76,3.79
600000.00,56.12,3.79
600000.00,56.05,3.79
600000.00,55.66,3.79
600000.00,55.38,3.79
600000.00,55.15,3.79
600000.00,55.85,3.79
600000.00,56.47,3.79
600000.00,57.09,3.79
600000.00,57.44,3.79
600000.00,57.05,3.79
600000.00,56.74,3.79
600000.00,56.44,3.79
600000.00,56.42,3.80
600000.00,56.65,3.80
600000.00,56.80,3.80
600000.00,56.94,3.80
600000.00,56.51,3.79
600000.00,56.20,3.79
600000.00,55.89,3.79
600000.00,55.68,3.79
600000.00,55.42,3.79
600000.00,55.26,3.79
600000.00,55.10,3.79
600000.00,55.37,3.79
600000.00,56.56,3.79
600000.00,57.23,3.79
600000.00,57.71,3.79
600000.00,57.31,3.79
600000.00,56.84,3.79
600000.00,56.48,3.79
600000.00,56.43,3.79
600000.00,56.83,3.79
600000.00,57.24,3.79
600000.00,57.53,3.79
600000.00,57.06,3.79
600000.00,56.60,3.79
600000.00,55.99,3.78
600000.00,55.68,3.78
600000.00,55.49,3.78
600000.00,55.32,3.78
600000.00,55.11,3.79
600000.00,55.26,3.79
600000.00,55.91,3.79
600000.00,56.39,3.79
600000.00,56.93,3.78
600000.00,56.77,3.78
600000.00,56.61,3.78
600000.00,56.46,3.78
600000.00,56.59,3.83
600000.00,57.72,3.83
600000.00,58.59,3.83
600000.00,59.47,3.83
600000.00,59.50,3.81
600000.00,57.59,3.81
600000.00,56.19,3.81
600000.00,54.78,3.81
600000.00,55.39,3.79
600000.00,58.13,3.79
600000.00,59.89,3.79
600000.00,61.65,3.79
600000.00,61.85,3.86
600000.00,59.70,3.86
600000.00,58.20,3.86
600000.00,56.69,3.86
600000.00,56.23,3.76
600000.00,56.98,3.76
600000.00,57.50,3.76
600000.00,58.03,3.76
600000.00,57.70,3.73
600000.00,56.62,3.73
600000.00,55.92,3.73
600000.00,55.27,3.73
600000.00,56.04,3.77
600000.00,56.60,3.77
600000.00,57.16,3.77
600000.00,57.68,3.77
600000.00,56.99,3.70
600000.00,56.49,3.70
600000.00,56.00,3.70
600000.00,55.80,3.70
600000.00,56.42,3.73
600000.00,56.82,3.73
600000.00,57.22,3.73
600000.00,57.19,3.73
600000.00,56.51,3.77
600000.00,56.10,3.77
600000.00,55.72,3.77
600000.00,56.33,3.77
600000.00,57.13,3.76
600000.00,57.72,3.76
600000.00,58.03,3.76
600000.00,57.51,3.76
600000.00,56.93,3.77
600000.00,56.49,3.77
600000.00,56.39,3.77
600000.00,56.59,3.77
600000.00,56.79,3.78
600000.00,56.94,3.78
600000.00,56.87,3.78
600000.00,56.64,3.78
600000.00,56.44,3.76
600000.00,56.36,3.76
600000.00,56.48,3.76
600000.00,56.58,3.76
600000.00,56.72,3.74
600000.00,56.72,3.74
600000.00,56.58,3.74
600000.00,56.48,3.74
600000.00,56.34,3.70
600000.00,56.93,3.70
600000.00,57.51,3.70
600000.00,58.10,3.70
600000.00,58.59,3.69
600000.00,58.09,3.69
600000.00,57.65,3.69
600000.00,57.22,3.69
600000.00,56.93,3.75
600000.00,56.86,3.75
600000.00,56.82,3.75
600000.00,56.77,3.75
600000.00,56.62,3.78
600000.00,56.23,3.78
600000.00,55.98,3.78
600000.00,55.72,3.78
600000.00,56.01,3.78
600000.00,56.77,3.78
600000.00,57.22,3.78
600000.00,57.51,3.78
600000.00,57.29,3.78
600000.00,57.15,3.78
600000.00,57.00,3.78
600000.00,56.90,3.78
600000.00,56.64,3.78
600000.00,56.49,3.78
600000.00,56.34,3.78
600000.00,56.77,3.78
600000.00,58.41,3.73
600000.00,59.29,3.73
600000.00,59.90,3.73
600000.00,58.87,3.73
600000.00,57.66,3.69
600000.00,56.74,3.69
600000.00,56.42,3.69
600000.00,56.79,3.69
600000.00,57.17,3.72
600000.00,57.46,3.72
600000.00,57.74,3.72
600000.00,58.46,3.72
600000.00,59.18,3.72
600000.00,59.71,3.72
600000.00,59.63,3.72
600000.00,59.33,3.72
600000.00,59.08,3.75
600000.00,58.90,3.75
600000.00,58.73,3.75
600000.00,58.57,3.75
600000.00,58.36,3.74
600000.00,58.20,3.74
600000.00,57.86,3.74
600000.00,57.55,3.74
600000.00,57.14,3.78
600000.00,57.00,3.78
600000.00,57.34,3.78
600000.00,57.63,3.78
600000.00,58.02,3.77
600000.00,57.94,3.77
600000.00,57.29,3.77
600000.00,56.80,3.77
600000.00,56.17,3.78
600000.00,56.40,3.78
600000.00,57.13,3.78
600000.00,57.61,3.78
600000.00,58.01,3.77
600000.00,57.32,3.77
