freq,util,power
600000.00,33.23,3.58
600000.00,32.64,3.68
600000.00,32.16,3.68
600000.00,31.69,3.68
600000.00,31.37,3.68
600000.00,30.98,3.70
600000.00,30.73,3.70
600000.00,30.48,3.70
600000.00,30.59,3.70
600000.00,31.26,3.67
600000.00,31.63,3.67
600000.00,31.92,3.67
600000.00,31.66,3.67
600000.00,31.34,3.68
600000.00,31.11,3.68
600000.00,31.10,3.68
600000.00,31.70,3.68
600000.00,32.33,3.69
600000.00,32.80,3.69
600000.00,32.68,3.69
600000.00,32.01,3.69
600000.00,31.36,3.68
600000.00,31.05,3.68
600000.00,31.69,3.68
600000.00,32.27,3.68
600000.00,33.04,3.68
600000.00,33.22,3.68
600000.00,32.63,3.68
600000.00,32.15,3.68
600000.00,31.51,3.69
600000.00,31.44,3.69
600000.00,31.46,3.69
600000.00,31.48,3.69
600000.00,31.50,3.68
600000.00,31.36,3.68
600000.00,31.22,3.68
600000.00,31.09,3.68
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,31.09,3.70
600000.00,31.43,3.70
600000.00,31.67,3.70
600000.00,31.91,3.70
600000.00,31.58,3.69
600000.00,30.58,3.69
600000.00,29.95,3.69
600000.00,29.47,3.69
600000.00,30.71,3.70
600000.00,31.59,3.70
600000.00,32.46,3.70
600000.00,32.88,3.70
600000.00,32.88,3.69
600000.00,32.88,3.69
600000.00,32.88,3.69
600000.00,32.78,3.69
600000.00,32.37,3.68
600000.00,32.14,3.68
600000.00,31.94,3.68
600000.00,31.94,3.68
600000.00,31.94,3.69
600000.00,31.94,3.69
600000.00,31.81,3.69
600000.00,31.18,3.69
600000.00,30.54,3.68
600000.00,30.06,3.68
600000.00,30.11,3.68
600000.00,30.46,3.68
600000.00,30.79,3.68
600000.00,30.96,3.68
600000.00,30.69,3.68
600000.00,30.44,3.68
600000.00,30.11,3.69
600000.00,30.31,3.69
600000.00,31.81,3.69
600000.00,32.97,3.69
600000.00,34.51,3.70
600000.00,34.27,3.70
600000.00,32.92,3.70
600000.00,32.00,3.70
600000.00,31.03,3.74
600000.00,31.42,3.74
600000.00,31.77,3.74
600000.00,32.12,3.74
600000.00,32.36,3.69
600000.00,32.22,3.69
600000.00,32.10,3.69
600000.00,31.99,3.69
600000.00,31.89,3.69
600000.00,31.74,3.69
600000.00,31.63,3.69
600000.00,31.52,3.69
600000.00,31.28,3.69
600000.00,30.67,3.69
600000.00,30.29,3.69
600000.00,30.15,3.69
600000.00,32.10,3.74
600000.00,33.45,3.74
600000.00,34.81,3.74
600000.00,35.76,3.74
600000.00,33.97,3.69
600000.00,32.75,3.69
600000.00,31.52,3.69
600000.00,31.18,3.69
600000.00,32.30,3.69
600000.00,33.00,3.69
600000.00,33.69,3.69
600000.00,33.44,3.69
600000.00,31.99,3.71
600000.00,31.19,3.71
600000.00,30.62,3.71
600000.00,31.26,3.71
600000.00,32.03,3.70
600000.00,32.61,3.70
600000.00,32.69,3.70
600000.00,31.77,3.70
600000.00,30.81,3.69
600000.00,30.10,3.69
600000.00,30.31,3.69
600000.00,31.35,3.69
600000.00,32.31,3.68
600000.00,32.80,3.68
600000.00,32.01,3.68
600000.00,31.29,3.68
600000.00,30.32,3.70
600000.00,30.26,3.70
600000.00,31.48,3.70
600000.00,32.42,3.70
600000.00,33.68,3.69
600000.00,33.63,3.69
600000.00,33.12,3.69
600000.00,32.77,3.69
600000.00,32.38,3.69
600000.00,32.25,3.69
600000.00,32.14,3.69
600000.00,32.02,3.69
600000.00,32.06,3.70
600000.00,32.52,3.70
600000.00,32.87,3.70
600000.00,33.22,3.70
600000.00,33.04,3.69
600000.00,32.17,3.69
600000.00,31.58,3.69
600000.00,30.99,3.69
600000.00,31.15,3.69
600000.00,31.54,3.69
600000.00,31.78,3.69
600000.00,31.91,3.69
600000.00,31.55,3.69
600000.00,31.31,3.69
600000.00,31.07,3.69
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,31.69,3.69
600000.00,32.61,3.68
600000.00,33.32,3.68
600000.00,33.55,3.68
600000.00,32.02,3.68
600000.00,30.33,3.69
600000.00,29.04,3.69
600000.00,28.91,3.69
600000.00,30.33,3.69
600000.00,31.80,3.68
600000.00,32.88,3.68
600000.00,32.57,3.68
600000.00,31.66,3.68
600000.00,30.85,3.70
600000.00,30.53,3.70
600000.00,31.23,3.70
600000.00,31.84,3.70
600000.00,32.66,3.69
600000.00,32.69,3.69
600000.00,31.93,3.69
600000.00,31.35,3.69
600000.00,30.59,3.69
600000.00,30.61,3.69
600000.00,30.76,3.69
600000.00,30.87,3.69
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,30.99,3.69
600000.00,31.13,3.68
600000.00,31.74,3.68
600000.00,32.21,3.68
600000.00,32.69,3.68
600000.00,32.65,3.69
600000.00,31.96,3.69
600000.00,31.48,3.69
600000.00,31.01,3.69
600000.00,31.14,3.69
600000.00,31.54,3.69
600000.00,31.78,3.69
600000.00,32.75,3.69
600000.00,39.98,3.84
600000.00,44.83,3.84
600000.00,49.78,3.84
600000.00,54.62,3.84
600000.00,57.76,3.98
600000.00,57.89,3.98
600000.00,57.98,3.98
600000.00,58.07,3.98
600000.00,58.33,3.96
600000.00,59.00,3.96
600000.00,59.46,3.96
600000.00,59.91,3.96
600000.00,59.44,3.93
600000.00,57.92,3.93
600000.00,56.96,3.93
600000.00,56.19,3.93
600000.00,56.70,3.95
600000.00,57.06,3.95
600000.00,57.41,3.95
600000.00,57.64,3.95
600000.00,56.92,3.96
600000.00,56.42,3.96
600000.00,55.93,3.96
600000.00,55.84,3.96
600000.00,56.58,3.94
600000.00,57.04,3.94
600000.00,57.50,3.94
600000.00,57.44,3.94
600000.00,57.09,3.94
600000.00,56.90,3.94
600000.00,56.72,3.94
600000.00,56.39,3.94
600000.00,55.99,3.94
600000.00,55.71,3.94
600000.00,55.61,3.94
600000.00,55.85,3.94
600000.00,56.11,3.94
600000.00,56.31,3.94
600000.00,56.36,3.94
600000.00,56.44,3.94
600000.00,56.52,3.95
600000.00,56.57,3.95
600000.00,56.48,3.95
600000.00,56.16,3.95
600000.00,55.87,3.94
600000.00,55.75,3.94
600000.00,56.05,3.94
600000.00,56.31,3.94
600000.00,56.66,3.95
600000.00,56.68,3.95
600000.00,56.33,3.95
600000.00,56.07,3.95
600000.00,55.72,3.94
600000.00,55.93,3.94
600000.00,56.61,3.94
600000.00,57.06,3.94
600000.00,57.50,3.94
600000.00,57.28,3.94
600000.00,57.09,3.94
600000.00,56.89,3.94
600000.00,56.71,3.94
600000.00,56.52,3.94
600000.00,56.38,3.94
600000.00,56.23,3.94
600000.00,56.11,3.94
600000.00,55.95,3.94
600000.00,55.84,3.94
600000.00,55.72,3.94
600000.00,55.91,3.94
600000.00,56.40,3.94
600000.00,56.71,3.94
600000.00,56.92,3.94
600000.00,56.63,3.94
600000.00,56.44,3.94
600000.00,56.25,3.94
600000.00,56.23,3.94
600000.00,56.60,3.95
600000.00,56.83,3.95
600000.00,57.05,3.95
600000.00,57.03,3.95
600000.00,56.42,3.94
600000.00,56.07,3.94
600000.00,55.72,3.94
600000.00,55.94,3.94
600000.00,56.78,3.94
600000.00,57.25,3.94
600000.00,57.52,3.94
600000.00,57.41,3.94
600000.00,57.29,3.94
600000.00,57.19,3.94
600000.00,57.11,3.94
600000.00,56.94,3.94
600000.00,56.76,3.94
600000.00,56.62,3.94
600000.00,56.61,3.94
600000.00,56.73,3.94
600000.00,56.86,3.94
600000.00,56.96,3.94
600000.00,57.87,3.94
600000.00,58.76,3.94
600000.00,59.93,4.00
600000.00,60.73,4.00
600000.00,59.90,4.00
600000.00,59.07,4.00
600000.00,57.98,3.94
600000.00,57.47,3.94
600000.00,57.10,3.94
600000.00,56.80,3.94
600000.00,56.40,3.95
600000.00,56.28,3.95
600000.00,56.06,3.95
600000.00,55.90,3.95
600000.00,55.75,3.94
600000.00,56.40,3.94
600000.00,57.00,3.94
600000.00,57.60,3.94
600000.00,58.03,3.95
600000.00,57.66,3.95
600000.00,57.37,3.95
600000.00,57.06,3.95
600000.00,57.01,3.96
600000.00,57.22,3.96
600000.00,57.37,3.96
600000.00,57.52,3.96
600000.00,57.45,3.95
600000.00,57.21,3.95
600000.00,57.06,3.95
600000.00,56.91,3.95
600000.00,56.46,3.95
600000.00,56.14,3.95
600000.00,55.83,3.95
600000.00,55.86,3.95
600000.00,56.60,3.96
600000.00,57.05,3.96
600000.00,57.50,3.96
600000.00,57.73,3.96
600000.00,58.50,4.01
600000.00,58.94,4.01
600000.00,59.37,4.01
600000.00,59.49,4.01
600000.00,59.49,4.04
600000.00,59.49,4.04
600000.00,59.49,4.04
600000.00,59.31,4.04
600000.00,58.48,3.95
600000.00,58.00,3.95
600000.00,57.53,3.95
600000.00,57.19,3.95
600000.00,56.73,3.98
600000.00,56.39,3.98
600000.00,56.29,3.98
600000.00,57.19,3.98
600000.00,58.21,3.97
600000.00,58.98,3.97
600000.00,59.36,3.97
600000.00,58.46,3.97
600000.00,57.39,3.96
600000.00,56.62,3.96
600000.00,56.37,3.96
600000.00,56.51,3.96
600000.00,56.65,3.95
600000.00,56.75,3.95
600000.00,56.71,3.95
600000.00,56.56,3.95
600000.00,56.42,3.95
600000.00,56.36,3.95
600000.00,56.52,3.95
600000.00,56.67,3.95
600000.00,56.88,3.96
600000.00,56.94,3.96
600000.00,56.94,3.96
600000.00,56.94,3.96
600000.00,56.94,3.95
600000.00,57.01,3.95
600000.00,57.22,3.95
600000.00,57.37,3.95
600000.00,57.52,3.95
600000.00,57.36,3.95
600000.00,57.21,3.95
600000.00,57.06,3.95
600000.00,56.89,3.96
600000.00,56.65,3.96
600000.00,56.46,3.96
600000.00,56.27,3.96
600000.00,56.11,3.96
600000.00,55.90,3.96
600000.00,55.74,3.96
600000.00,55.59,3.96
600000.00,55.74,3.96
600000.00,56.26,3.96
600000.00,56.61,3.96
600000.00,56.94,3.96
600000.00,56.74,3.95
600000.00,56.59,3.95
600000.00,56.44,3.95
600000.00,56.33,3.95
600000.00,56.27,3.96
600000.00,56.22,3.96
600000.00,56.18,3.96
600000.00,56.33,3.96
600000.00,57.18,3.99
600000.00,57.70,3.99
600000.00,58.21,3.99
600000.00,58.46,3.99
600000.00,57.86,3.96
