     1.610490624,0,,r1A2,461380971,57.32,,
     1.610490624,1616,,r1C2,456383491,56.70,,
     1.811822812,9854390,,instructions,470057581,58.38,0.60,insn per cycle
     1.811822812,34493,,cache-misses,471790220,58.60,0.870,of all cache refs
     1.811822812,4275221,,L1-dcache-loads,405105625,50.32,,
     1.811822812,4430442,,L1-dcache-stores,405089896,50.32,,
     1.811822812,1209799,,branch-instructions,405070891,50.32,,
     1.811822812,174439,,branch-misses,405050886,50.31,13.71,of all branches
     1.811822812,4592473,,cache-references,401786679,49.91,,
     1.811822812,18313457,,cpu-cycles,468461407,58.19,,
     1.811822812,161501,,r110,466667166,57.97,,
     1.811822812,0,,r13C,466665244,57.97,,
     1.811822812,0,,r1A2,466668803,57.97,,
     1.811822812,4013,,r1C2,466663329,57.98,,
     2.013192708,8592173,,instructions,465188255,57.77,0.52,insn per cycle
     2.013192708,22445,,cache-misses,465173448,57.77,0.566,of all cache refs
     2.013192708,4463765,,L1-dcache-loads,397155797,49.33,,
     2.013192708,4268587,,L1-dcache-stores,398982886,49.55,,
     2.013192708,1261382,,branch-instructions,402958604,50.05,,
     2.013192708,163417,,branch-misses,406934673,50.54,12.86,of all branches
     2.013192708,3963929,,cache-references,407990095,50.68,,
     2.013192708,16170330,,cpu-cycles,475991256,59.13,,
     2.013192708,145032,,r110,476000501,59.13,,
     2.013192708,0,,r13C,474178001,58.90,,
     2.013192708,0,,r1A2,470187730,58.41,,
     2.013192708,1229,,r1C2,466188751,57.91,,
     2.214503228,10463807,,instructions,460956108,57.25,0.64,insn per cycle
     2.214503228,27215,,cache-misses,464572240,57.70,0.692,of all cache refs
     2.214503228,4263495,,L1-dcache-loads,402731856,50.02,,
     2.214503228,3648030,,L1-dcache-stores,406347955,50.47,,
     2.214503228,1120835,,branch-instructions,409962401,50.92,,
     2.214503228,149212,,branch-misses,412371762,51.22,11.87,of all branches
     2.214503228,3595363,,cache-references,409701270,50.89,,
     2.214503228,15211517,,cpu-cycles,475163349,59.02,,
     2.214503228,157772,,r110,471541550,58.57,,
     2.214503228,0,,r13C,467909812,58.12,,
     2.214503228,0,,r1A2,464282676,57.67,,
     2.214503228,1480,,r1C2,460647757,57.22,,
     2.415868228,8363002,,instructions,469209496,58.27,0.51,insn per cycle
     2.415868228,13373,,cache-misses,471865174,58.60,0.336,of all cache refs
     2.415868228,3449422,,L1-dcache-loads,405183533,50.32,,
     2.415868228,3501574,,L1-dcache-stores,405169718,50.32,,
     2.415868228,1126485,,branch-instructions,405155369,50.32,,
     2.415868228,171985,,branch-misses,405140552,50.32,13.80,of all branches
     2.415868228,4512690,,cache-references,402691694,50.02,,
     2.415868228,17859514,,cpu-cycles,469364007,58.30,,
     2.415868228,157803,,r110,466666924,57.96,,
     2.415868228,0,,r13C,466665839,57.97,,
     2.415868228,0,,r1A2,466668452,57.97,,
     2.415868228,543,,r1C2,466664250,57.97,,
     2.617191197,8708690,,instructions,466758221,57.97,0.53,insn per cycle
     2.617191197,23313,,cache-misses,466747829,57.97,0.584,of all cache refs
     2.617191197,4521840,,L1-dcache-loads,399041310,49.56,,
     2.617191197,4406169,,L1-dcache-stores,399217104,49.58,,
     2.617191197,1284088,,branch-instructions,402276102,49.96,,
     2.617191197,162013,,branch-misses,405334228,50.34,12.97,of all branches
     2.617191197,4092926,,cache-references,406145963,50.44,,
     2.617191197,16663837,,cpu-cycles,473838767,58.85,,
     2.617191197,142629,,r110,473846079,58.86,,
     2.617191197,0,,r13C,473675522,58.84,,
     2.617191197,0,,r1A2,470605931,58.45,,
     2.617191197,2270,,r1C2,467529180,58.07,,
     2.818609322,10183879,,instructions,462394193,57.42,0.62,insn per cycle
     2.818609322,20321,,cache-misses,465021336,57.75,0.514,of all cache refs
     2.818609322,4079562,,L1-dcache-loads,402146198,49.94,,
     2.818609322,3701732,,L1-dcache-stores,404987214,50.30,,
     2.818609322,1081774,,branch-instructions,407827310,50.65,,
     2.818609322,150010,,branch-misses,410667765,51.00,12.12,of all branches
     2.818609322,3500782,,cache-references,408798952,50.77,,
     2.818609322,14789812,,cpu-cycles,474518193,58.93,,
     2.818609322,152699,,r110,471672066,58.58,,
     2.818609322,0,,r13C,468818394,58.23,,
     2.818609322,0,,r1A2,465968309,57.88,,
     2.818609322,2109,,r1C2,463110797,57.52,,
     3.019897290,9869377,,instructions,468700788,58.21,0.60,insn per cycle
     3.019897290,12166,,cache-misses,471352903,58.54,0.304,of all cache refs
     3.019897290,3425542,,L1-dcache-loads,405220583,50.32,,
     3.019897290,3443234,,L1-dcache-stores,405209834,50.32,,
     3.019897290,1109729,,branch-instructions,405198077,50.32,,
     3.019897290,142961,,branch-misses,405186751,50.32,11.63,of all branches
     3.019897290,4702205,,cache-references,403227143,50.08,,
     3.019897290,18474254,,cpu-cycles,469898293,58.36,,
     3.019897290,172404,,r110,467241876,58.03,,
     3.019897290,0,,r13C,466666397,57.96,,
     3.019897290,0,,r1A2,466669050,57.96,,
     3.019897290,1444,,r1C2,466664463,57.96,,
     3.221225259,8771641,,instructions,467741329,58.09,0.52,insn per cycle
     3.221225259,19489,,cache-misses,467735117,58.09,0.481,of all cache refs
     3.221225259,4529651,,L1-dcache-loads,400223652,49.70,,
     3.221225259,4553571,,L1-dcache-stores,400214724,49.70,,
     3.221225259,1412005,,branch-instructions,401849808,49.91,,
     3.221225259,201483,,branch-misses,404335785,50.22,16.24,of all branches
     3.221225259,4826624,,cache-references,404993855,50.30,,
     3.221225259,22177448,,cpu-cycles,472494578,58.68,,
     3.221225259,183228,,r110,472500610,58.68,,
     3.221225259,0,,r13C,472499790,58.69,,
     3.221225259,0,,r1A2,470874913,58.48,,
     3.221225259,4479,,r1C2,468374627,58.17,,
     3.422612499,10092187,,instructions,464086606,57.63,0.60,insn per cycle
     3.422612499,18498,,cache-misses,465311520,57.78,0.460,of all cache refs
     3.422612499,4039653,,L1-dcache-loads,401766985,49.89,,
     3.422612499,3994414,,L1-dcache-stores,404106992,50.19,,
     3.422612499,1082882,,branch-instructions,406447025,50.48,,
     3.422612499,148297,,branch-misses,408786523,50.77,12.05,of all branches
     3.422612499,3503913,,cache-references,408187482,50.69,,
     3.422612499,14721519,,cpu-cycles,474074324,58.88,,
     3.422612499,153786,,r110,471730335,58.59,,
     3.422612499,0,,r13C,469380574,58.30,,
     3.422612499,0,,r1A2,467032997,58.01,,
     3.422612499,1363,,r1C2,464679205,57.71,,
     3.623899374,9651119,,instructions,468360640,58.16,0.57,insn per cycle
     3.623899374,12694,,cache-misses,470572098,58.44,0.313,of all cache refs
     3.623899374,3474930,,L1-dcache-loads,405238938,50.33,,
     3.623899374,3495349,,L1-dcache-stores,405230646,50.32,,
     3.623899374,1126119,,branch-instructions,405221910,50.32,,
     3.623899374,148827,,branch-misses,405212217,50.32,12.15,of all branches
     3.623899374,4554080,,cache-references,403579075,50.12,,
     3.623899374,17851021,,cpu-cycles,470249260,58.40,,
     3.623899374,165595,,r110,468035713,58.13,,
     3.623899374,0,,r13C,466666512,57.96,,
     3.623899374,0,,r1A2,466667924,57.96,,
     3.623899374,951,,r1C2,466663829,57.96,,
     3.825230676,8548049,,instructions,468422443,58.17,0.51,insn per cycle
     3.825230676,14694,,cache-misses,468415886,58.17,0.363,of all cache refs
     3.825230676,4486985,,L1-dcache-loads,401036839,49.80,,
     3.825230676,4448843,,L1-dcache-stores,401028896,49.80,,
     3.825230676,1286765,,branch-instructions,401558109,49.87,,
     3.825230676,160255,,branch-misses,403651081,50.13,13.04,of all branches
     3.825230676,4040456,,cache-references,404205771,50.20,,
     3.825230676,16198581,,cpu-cycles,471574444,58.57,,
     3.825230676,153314,,r110,471579412,58.57,,
     3.825230676,0,,r13C,471579113,58.57,,
     3.825230676,0,,r1A2,471054675,58.50,,
     3.825230676,980,,r1C2,468948321,58.24,,
     4.026502030,10179738,,instructions,465254315,57.78,0.61,insn per cycle
     4.026502030,20235,,cache-misses,465514755,57.81,0.503,of all cache refs
     4.026502030,4094924,,L1-dcache-loads,401501578,49.86,,
     4.026502030,4042375,,L1-dcache-stores,403490961,50.11,,
     4.026502030,1077367,,branch-instructions,405480024,50.36,,
     4.026502030,147077,,branch-misses,407468608,50.60,12.05,of all branches
     4.026502030,3487968,,cache-references,407738925,50.64,,
     4.026502030,14650485,,cpu-cycles,473741993,58.84,,
     4.026502030,151631,,r110,471749754,58.59,,
     4.026502030,0,,r13C,469752439,58.34,,
     4.026502030,0,,r1A2,467756139,58.09,,
     4.026502030,2005,,r1C2,465755222,57.85,,
     4.227839894,9672709,,instructions,468118550,58.13,0.58,insn per cycle
     4.227839894,13208,,cache-misses,470013847,58.37,0.327,of all cache refs
     4.227839894,3427838,,L1-dcache-loads,405231883,50.32,,
     4.227839894,3439723,,L1-dcache-stores,405224509,50.32,,
     4.227839894,1104265,,branch-instructions,405217071,50.32,,
     4.227839894,145266,,branch-misses,405217868,50.32,11.95,of all branches
     4.227839894,4480398,,cache-references,403818034,50.15,,
     4.227839894,17424947,,cpu-cycles,470487545,58.43,,
     4.227839894,163024,,r110,468590004,58.20,,
     4.227839894,0,,r13C,466687972,57.96,,
     4.227839894,0,,r1A2,466667824,57.96,,
     4.227839894,346,,r1C2,466664255,57.96,,
     4.429103123,8468344,,instructions,468888613,58.23,0.51,insn per cycle
     4.429103123,13672,,cache-misses,468882595,58.23,0.338,of all cache refs
     4.429103123,3553196,,L1-dcache-loads,401600779,49.87,,
     4.429103123,4518744,,L1-dcache-stores,401593551,49.87,,
     4.429103123,1357770,,branch-instructions,401586544,49.87,,
     4.429103123,158939,,branch-misses,403153024,50.07,13.01,of all branches
     4.429103123,4082114,,cache-references,403632297,50.13,,
     4.429103123,16103076,,cpu-cycles,470905273,58.48,,
     4.429103123,150121,,r110,470909454,58.48,,
     4.429103123,0,,r13C,470909561,58.49,,
     4.429103123,0,,r1A2,470910077,58.49,,
     4.429103123,804,,r1C2,469341367,58.29,,
     4.630378540,10476599,,instructions,466111731,57.88,0.63,insn per cycle
