time,freq,util
.085201979,1200000,33.3333
.187909843,1200000,30.7692
.289150625,1200000,34.1463
.390633281,1200000,28.2051
.492697552,1200000,30.7692
.594982083,1200000,30.7692
.696858958,1200000,30
.798846666,1200000,28.9474
.900938749,1200000,30.7692
1.002721093,1200000,28.9474
1.105164426,1200000,28.2051
1.207746822,1200000,30.7692
1.309283072,1200000,34.1463
1.410875989,1200000,32.5
1.513053124,1200000,30
1.615878801,1200000,32.5
1.717316822,1200000,30.7692
1.818951666,1200000,32.5
1.920971353,1200000,30.7692
2.022723749,1200000,30
2.124829999,1200000,30.7692
2.227197603,1200000,30.7692
2.328896770,1200000,30
2.430577707,1200000,34.1463
2.532495728,1200000,34.1463
2.634641561,1200000,27.027
2.736511092,1200000,33.3333
2.838786353,1200000,30.7692
2.940472967,1200000,32.5
3.042060363,1200000,35.7143
3.144926978,1200000,28.9474
3.247125363,1200000,30
3.348941561,1200000,30.7692
3.450502967,1200000,30.7692
3.552549738,1200000,33.3333
3.655023227,1200000,30.7692
3.757211144,1200000,28.9474
3.859169790,1200000,30
3.961192707,1200000,32.5
4.062790623,1200000,30.7692
4.165481196,1200000,31.7073
4.268053904,1200000,30.7692
4.369897029,1200000,32.5
4.471780467,1200000,34.8837
4.573587654,1200000,32.5
4.675612081,1200000,32.5
4.777242237,1200000,30.7692
4.878984112,1200000,30.7692
4.980777185,1200000,28.2051
5.082896560,1200000,32.5
5.199004581,1200000,26.6667
5.300924425,1200000,32.5
5.402970310,1200000,30.7692
5.505151508,1200000,30.7692
5.607143748,1200000,30
5.708946195,1200000,32.5
5.811028487,1200000,28.9474
5.912867237,1200000,30
6.015153279,1200000,30.7692
6.117831143,1200000,30.7692
6.220291456,1200000,34.1463
6.322226820,1200000,34.8837
6.425044581,1200000,30.7692
6.527248539,1200000,30
6.628680674,1200000,30.7692
6.730607289,1200000,32.5
6.832681716,1200000,32.5
6.935270101,1200000,28.2051
7.037528539,1200000,28.9474
7.138891403,1200000,32.5
7.240583695,1200000,30.7692
7.342534007,1200000,31.7073
7.444905570,1200000,28.9474
7.546378122,1200000,30.7692
7.648547080,1200000,30.7692
7.749978747,1200000,32.5
7.852167601,1200000,33.3333
7.954547965,1200000,28.9474
8.056879684,1200000,30.7692
8.158938069,1200000,30
8.260673903,1200000,28.9474
8.361885309,1200000,32.5
8.463880413,1200000,30.7692
8.566027340,1200000,32.5
8.667629007,1200000,31.7073
8.769084996,1200000,34.1463
8.871102132,1200000,32.5
8.972771819,1200000,30.7692
9.075274996,1200000,30
9.179541246,1200000,30
9.281625621,1200000,34.1463
9.383266194,1200000,32.5
9.485410569,1200000,34.1463
9.587444736,1200000,30
9.689468381,1200000,30.7692
9.791579840,1200000,34.1463
9.893745465,1200000,30
9.996734319,1200000,35.7143
10.120495881,1200000,60.7843
10.336013381,1200000,42.5287
10.447384631,1200000,56.0976
10.550365048,1200000,60
10.653455152,1200000,58.5366
10.757238954,1200000,56.0976
10.859780152,1200000,57.5
10.967943225,1200000,58.1395
11.070736975,1200000,58.5366
11.173558173,1200000,56.0976
11.276642287,1200000,58.5366
11.379315308,1200000,56.0976
11.482323954,1200000,60.4651
11.585206922,1200000,53.8462
11.687942547,1200000,57.5
11.790735204,1200000,59.0909
11.900228068,1200000,56.8182
12.002978485,1200000,55
12.106731714,1200000,57.5
12.209227599,1200000,55
12.312322078,1200000,60.4651
12.414888380,1200000,55.2632
12.517311609,1200000,53.8462
12.619631714,1200000,57.5
12.722096505,1200000,58.1395
12.824341036,1200000,57.5
12.927242078,1200000,57.5
13.029957026,1200000,57.1429
13.132045620,1200000,60.4651
13.234952182,1200000,55
13.337907911,1200000,57.5
13.440352547,1200000,60.4651
13.542905620,1200000,56.0976
13.646815567,1200000,56.4103
13.756709213,1200000,57.7778
13.858544317,1200000,55.2632
13.960430359,1200000,58.5366
14.062777963,1200000,56.0976
14.164871505,1200000,54.0541
14.267601088,1200000,55.2632
14.370037078,1200000,56.0976
14.472699682,1200000,60.4651
14.575340463,1200000,55
14.677724473,1200000,56.4103
14.780384265,1200000,60.4651
14.882498536,1200000,55
14.985086765,1200000,56.4103
15.088445254,1200000,55
15.191626088,1200000,59.5238
15.294083431,1200000,56.4103
15.409212494,1200000,52.1739
15.512477338,1200000,57.1429
15.614974369,1200000,54.0541
15.717710879,1200000,55
15.820092077,1200000,58.5366
15.922495150,1200000,59.5238
16.025440410,1200000,55
16.128030410,1200000,56.4103
16.230364421,1200000,57.1429
16.332518223,1200000,58.5366
16.434912285,1200000,56.4103
16.537884420,1200000,55
16.641806504,1200000,59.0909
16.743927129,1200000,56.4103
16.846436608,1200000,57.1429
16.948775514,1200000,56.4103
