idle,3.686203,8.691330
turn_on,9.692645,9.921663
turn_on_idle,9.921853,14.926457
scan,15.928085,32.526170
scan_idle,32.526257,37.531368
connect,38.532600,42.966488
connect_idle,42.966601,47.971758
200,51.976283,51.976485
200,55.980710,55.981984
200,59.986243,59.986458
200,63.990002,63.990198
200,67.994444,67.994648
500,71.996227,71.996446
500,76.000718,76.000912
500,80.005155,80.005472
500,84.006204,84.006553
500,88.010819,88.011135
1000,92.012821,92.013134
1000,96.016173,96.016449
1000,100.020724,100.021059
1000,104.025303,104.025598
1000,108.026193,108.026516
2000,112.030905,112.031318
2000,116.035551,116.035900
2000,120.040345,120.040706
2000,124.044977,124.045390
2000,128.046272,128.046618
5000,132.050989,132.051573
5000,136.055853,136.056630
5000,140.060920,140.061282
5000,144.065568,144.066551
5000,148.067486,148.067898
10000,152.072353,152.072975
10000,156.076264,156.076904
10000,160.081154,160.081731
10000,164.086212,164.086844
10000,168.091093,168.091952
20000,172.096231,172.097730
20000,176.098684,176.100281
20000,180.104564,180.105885
20000,184.110316,184.111397
20000,188.115657,188.116932
50000,192.121405,192.241417
50000,196.245725,196.247719
50000,200.251988,200.254418
50000,204.256229,204.397825
50000,208.402140,208.404157
100000,212.406240,214.079192
100000,218.083499,219.485933
100000,223.490374,223.943443
100000,227.946226,229.682604
100000,233.686304,235.189890
200000,239.195090,240.992476
200000,244.996214,248.971342
200000,252.975607,254.691211
200000,258.695481,263.278834
200000,267.283131,269.450421
500000,273.456230,284.533069
500000,288.536239,298.672293
500000,302.676242,310.188644
500000,314.192900,320.244988
500000,324.246259,333.969293
1000000,337.976222,355.073502
1000000,359.076157,376.881765
1000000,380.886239,397.271808
1000000,401.276260,417.618280
1000000,421.622558,439.193374
