phase, avg pwr, total energy, total time
idle,3.116233,15.597379,5.005203
turn_on,3.192630,0.677767,0.212291
turn_on_idle,3.133004,15.680991,5.005098
scan,3.159547,65.140656,20.617086
scan_idle,3.128064,15.656206,5.005079
connect,3.147087,13.870977,4.407561
connect_idle,3.138023,15.706086,5.005090
200,3.120162,0.001763,0.000565
500,3.121819,0.001748,0.000560
1000,3.120333,0.001757,0.000563
2000,3.122846,0.001867,0.000598
5000,3.119515,0.002177,0.000698
10000,3.116970,0.002706,0.000868
20000,3.119324,0.003765,0.001207
50000,3.130002,4.355745,1.391611
100000,3.147030,17.022784,5.409159
200000,3.149997,50.968658,16.180543
500000,3.152654,141.487394,44.878822
1000000,3.158480,269.661914,85.377129
